# 转录元数据（whisper.cpp 原始输出，未修标点未纠错）
# 节目：硅谷101 · E247
# 标题：对话盛颖：xAI，Infra的浪漫，SGLang，开源，平权与"甄嬛传"
# 主持：陈茜（开场：泓君）｜ 嘉宾：盛颖（RadixArk 联创&CEO、SGLang 发起人、xAI 前推理团队负责人）
# 来源：Fireside RSS 音频直链（https://www.sv101.net/260）
# 发布日期：2026-08-04 ｜ 时长：1h46m26s（6387s）｜ 段数：5578
# pipeline：yt-dlp → whisper.cpp / ggml-large-v3 / Metal / -l zh / **--vad（silero）**
# 备注：首跑无 VAD 时 whisper 在音乐/过场段陷入循环幻觉（约 00:39 起整段报废），VAD 重跑后全量正常——长音频转写教训已记录
[00:21:41 -> 00:21:42] 区域赛冠军
[00:21:42 -> 00:21:43] 那个区域赛冠军
[00:21:43 -> 00:21:44] 也是主队
[00:21:44 -> 00:21:45] 就是三个人
[00:21:45 -> 00:21:45] 一个小队
[00:21:45 -> 00:21:47] 也没有说是我个人成就
[00:21:47 -> 00:21:48] 我的队友其实非常强
[00:21:48 -> 00:21:49] 非常运气好
[00:21:49 -> 00:21:50] 有非常强的队友
[00:21:50 -> 00:21:51] 帮我带飞了
[00:21:51 -> 00:21:52] 不是经常
[00:21:52 -> 00:21:52] 肯定有啊
[00:21:52 -> 00:21:54] 但是小说更多一点
[00:21:54 -> 00:21:55] 后来不是经常
[00:21:55 -> 00:21:55] 因为
[00:21:55 -> 00:21:58] 虽然有这些
[00:21:58 -> 00:21:58] 拿了这些奖项
[00:21:58 -> 00:21:59] 但好像其实都不是
[00:21:59 -> 00:22:00] 就比如说
[00:22:00 -> 00:22:01] 银牌不算啥
[00:22:01 -> 00:22:02] 还有很多金牌选手
[00:22:02 -> 00:22:02] 对
[00:22:02 -> 00:22:05] 所以
[00:22:05 -> 00:22:06] 对啊
[00:22:06 -> 00:22:07] 就看你跟谁比嘛
[00:22:07 -> 00:22:08] 但是我在的
[00:22:08 -> 00:22:09] 那个环境里面
[00:22:09 -> 00:22:10] 他们总是有比我更强
[00:22:10 -> 00:22:11] 比如说我在SM班
[00:22:11 -> 00:22:12] SM班里面
[00:22:12 -> 00:22:12] 有比我更强
[00:22:12 -> 00:22:13] 有很多比我更强
[00:22:13 -> 00:22:14] 所以就是你觉得
[00:22:14 -> 00:22:15] 努力这件事情
[00:22:15 -> 00:22:16] 更重要
[00:22:16 -> 00:22:17] 还是天分这件事情
[00:22:17 -> 00:22:17] 更重要
[00:22:17 -> 00:22:18] 我赞成天分
[00:22:18 -> 00:22:20] 你觉得在研究上面
[00:22:20 -> 00:22:21] 天分它主要表现在
[00:22:21 -> 00:22:23] 什么样的方向呢
[00:22:23 -> 00:22:24] 天分是指
[00:22:24 -> 00:22:25] 当外界人
[00:22:25 -> 00:22:27] 不把研究当回事
[00:22:27 -> 00:22:27] 不觉得研究
[00:22:27 -> 00:22:29] 不觉得研究
[00:22:29 -> 00:22:30] 是一件伟大的事情的时候
[00:22:30 -> 00:22:30] 你还想做它
[00:22:30 -> 00:22:31] 那就是你的天分
[00:22:31 -> 00:22:32] 嗯
[00:22:32 -> 00:22:33] 那是要兴趣
[00:22:33 -> 00:22:34] 我觉得大部分时候
[00:22:34 -> 00:22:36] 天分和相关性
[00:22:36 -> 00:22:37] 还是蛮强的
[00:22:37 -> 00:22:37] 那这么说吧
[00:22:37 -> 00:22:38] 可能很多人想当
[00:22:38 -> 00:22:39] researcher
[00:22:39 -> 00:22:40] 但不是很多人
[00:22:40 -> 00:22:41] 都能研究出来
[00:22:41 -> 00:22:42] 或者解决这个问题
[00:22:42 -> 00:22:44] 只有你能解决这个问题
[00:22:44 -> 00:22:46] 肯定是有你的天分在
[00:22:46 -> 00:22:46] 对
[00:22:46 -> 00:22:47] 是有天分的
[00:22:47 -> 00:22:48] 但我其实首先
[00:22:48 -> 00:22:49] 不觉得大多数人
[00:22:49 -> 00:22:51] 真的想成为researcher
[00:22:51 -> 00:22:52] 我见过太多的人
[00:22:52 -> 00:22:53] 他们想做研究
[00:22:53 -> 00:22:54] 想成为researcher
[00:22:54 -> 00:22:55] 是因为他们觉得
[00:22:55 -> 00:22:56] 这件事情酷
[00:22:56 -> 00:22:57] 是因为外界的环境上
[00:22:57 -> 00:22:58] 他们觉得这件事情很酷
[00:22:58 -> 00:22:59] 或者当教授
[00:22:59 -> 00:23:00] 是一个铁饭碗
[00:23:00 -> 00:23:01] 类似的
[00:23:01 -> 00:23:01] 好像就一些原因
[00:23:01 -> 00:23:02] 但这个并不是
[00:23:02 -> 00:23:04] 如果说当所有人
[00:23:04 -> 00:23:04] 都开始觉得
[00:23:04 -> 00:23:06] 当教授是一个
[00:23:06 -> 00:23:07] 被人唾弃的职业的时候
[00:23:07 -> 00:23:09] 他们马上就不会想做了
[00:23:09 -> 00:23:10] 这是你能识别出来
[00:23:10 -> 00:23:12] 但是在我当时
[00:23:12 -> 00:23:12] 想做这件事情的时候
[00:23:12 -> 00:23:13] 其实我是
[00:23:13 -> 00:23:14] 就是比如说
[00:23:14 -> 00:23:15] 我在的环境里面
[00:23:15 -> 00:23:16] 其实大家
[00:23:16 -> 00:23:18] 也没有觉得
[00:23:18 -> 00:23:19] 做theory是一件
[00:23:19 -> 00:23:20] 多么伟大的事情
[00:23:20 -> 00:23:23] 然后你赚的钱也很少
[00:23:23 -> 00:23:25] 但是你还是想
[00:23:25 -> 00:23:26] 你还是觉得它有意思
[00:23:26 -> 00:23:26] 我想做这件事情
[00:23:26 -> 00:23:27] 是因为我希望
[00:23:27 -> 00:23:29] 跟别人无关
[00:23:29 -> 00:23:30] 是因为我想受relevant
[00:23:30 -> 00:23:32] 那个时候才是
[00:23:32 -> 00:23:33] 你真正的所谓的
[00:23:33 -> 00:23:34] 兴趣和天分存在的时候
[00:23:34 -> 00:23:35] 我也不敢说我有天分
[00:23:35 -> 00:23:36] 那我毕竟也没有
[00:23:36 -> 00:23:37] 发明过什么
[00:23:37 -> 00:23:38] 也没有什么
[00:23:38 -> 00:23:39] 巨大的数学成就
[00:23:39 -> 00:23:40] 我也不能算有天分
[00:23:40 -> 00:23:42] 你肯定是算有天分的
[00:23:42 -> 00:23:42] 不然的话
[00:23:42 -> 00:23:43] 你paper怎么能发那么多
[00:23:43 -> 00:23:45] 有很多人paper发的很多
[00:23:45 -> 00:23:46] 比我发的paper多的人
[00:23:46 -> 00:23:47] 还有很多
[00:23:47 -> 00:23:48] 那可能是更有天分的
[00:23:48 -> 00:23:50] 发paper只是一个
[00:23:50 -> 00:23:52] 发paper是有套路的
[00:23:52 -> 00:23:53] 什么套路
[00:23:53 -> 00:23:55] 就是发paper
[00:23:55 -> 00:23:56] 其实你如果掌握了
[00:23:56 -> 00:23:56] 发paper
[00:23:56 -> 00:23:57] 发paper本身是一个技能
[00:23:57 -> 00:23:59] 发paper跟做research
[00:23:59 -> 00:24:00] 是两件事情
[00:24:00 -> 00:24:02] 发paper跟人们定义的
[00:24:02 -> 00:24:03] 做research和真正意义上的
[00:24:03 -> 00:24:04] 科学家是三件事情
[00:24:04 -> 00:24:05] OK
[00:24:05 -> 00:24:06] 发paper是有套路的
[00:24:06 -> 00:24:06] 你完全可以一个人
[00:24:06 -> 00:24:08] 他根本就不怎么
[00:24:08 -> 00:24:09] 他也能发很多paper
[00:24:09 -> 00:24:11] 就像是一个什么
[00:24:11 -> 00:24:13] 命题作文一样
[00:24:13 -> 00:24:14] 是不是你套着
[00:24:14 -> 00:24:15] 他那个框去写就可以了
[00:24:15 -> 00:24:16] 对
[00:24:16 -> 00:24:17] 就是你只要掌握了
[00:24:17 -> 00:24:17] 这个规则
[00:24:17 -> 00:24:19] 然后你掌握
[00:24:19 -> 00:24:20] 这个体系的规律
[00:24:20 -> 00:24:21] 在同样的规律里面
[00:24:21 -> 00:24:21] 不行的铲除
[00:24:21 -> 00:24:22] 你就可以一直发
[00:24:22 -> 00:24:23] 很多的paper
[00:24:23 -> 00:24:25] 但是顶刊也很少
[00:24:25 -> 00:24:26] 不少了
[00:24:26 -> 00:24:27] 现在顶刊一年都几千篇
[00:24:27 -> 00:24:28] 上万篇
[00:24:28 -> 00:24:30] 这么多人去投稿的话
[00:24:30 -> 00:24:32] 那顶刊还是算少的
[00:24:32 -> 00:24:32] 对
[00:24:32 -> 00:24:33] 那肯定是有spectrum的
[00:24:33 -> 00:24:34] 那我可能还是
[00:24:34 -> 00:24:36] 比average要有天分一些
[00:24:36 -> 00:24:37] 对
[00:24:37 -> 00:24:38] 就是掌握这个套路本身
[00:24:38 -> 00:24:39] 就是一件
[00:24:39 -> 00:24:40] 比较天分的事情
[00:24:40 -> 00:24:41] 所以你说发paper跟
[00:24:41 -> 00:24:42] 做研究
[00:24:42 -> 00:24:43] 跟当科学家
[00:24:43 -> 00:24:44] 是三件事情
[00:24:44 -> 00:24:45] 做研究
[00:24:45 -> 00:24:47] 发paper跟打工人是一样的
[00:24:47 -> 00:24:48] 跟打工人是一样的
[00:24:48 -> 00:24:48] 就是是一个
[00:24:48 -> 00:24:49] 非常平凡的事情
[00:24:49 -> 00:24:49] OK
[00:24:49 -> 00:24:51] 做研究跟当科学家
[00:24:51 -> 00:24:53] 这两者有什么区别吗
[00:24:53 -> 00:24:53] 做研究的话就是
[00:24:53 -> 00:24:55] 有很多研究
[00:24:55 -> 00:24:56] 他们其实是
[00:24:56 -> 00:24:58] 不breakthrough的
[00:24:58 -> 00:24:59] 也是不key的
[00:24:59 -> 00:25:00] 但是不是没有价值
[00:25:00 -> 00:25:01] 所以做研究
[00:25:01 -> 00:25:02] 它仍然是一个职业
[00:25:02 -> 00:25:03] 它只不过是一件职业
[00:25:03 -> 00:25:03] 只不过是
[00:25:03 -> 00:25:05] 我作为一个researcher
[00:25:05 -> 00:25:07] 我喜欢享受做研究
[00:25:07 -> 00:25:08] 所以我在这里做研究
[00:25:08 -> 00:25:09] 而并不是我比
[00:25:09 -> 00:25:10] 别人更有天分
[00:25:10 -> 00:25:10] 我没有天分
[00:25:10 -> 00:25:11] 我也可以是个researcher
[00:25:11 -> 00:25:12] 所以researcher
[00:25:12 -> 00:25:13] 只是一个职业
[00:25:13 -> 00:25:14] 但我所说的科学家
[00:25:14 -> 00:25:15] 这个名词
[00:25:15 -> 00:25:16] 我可能也用错了
[00:25:16 -> 00:25:17] 但我就说还有另一类
[00:25:17 -> 00:25:18] 就是真正在推动
[00:25:18 -> 00:25:19] 人类知识边界的人
[00:25:19 -> 00:25:20] 是非常非常少的
[00:25:20 -> 00:25:21] 然后这批人一般来说
[00:25:21 -> 00:25:23] 但我的bar也很高
[00:25:23 -> 00:25:24] 就是在我眼中
[00:25:24 -> 00:25:24] 真的在推动
[00:25:24 -> 00:25:26] 这个推动就是指
[00:25:26 -> 00:25:27] 如果不是他
[00:25:27 -> 00:25:27] 这个事情会
[00:25:27 -> 00:25:29] 往很长时间发生
[00:25:29 -> 00:25:30] 这个是被我定义的
[00:25:30 -> 00:25:32] 作为真正的科学推动者
[00:25:32 -> 00:25:33] 就是推动人类边界的
[00:25:33 -> 00:25:33] 这批人
[00:25:33 -> 00:25:34] 这批人就非常非常少
[00:25:34 -> 00:25:35] 绝大多数的教授
[00:25:35 -> 00:25:36] 可能都不是
[00:25:36 -> 00:25:37] 对吧
[00:25:37 -> 00:25:37] 绝大多数教授
[00:25:37 -> 00:25:38] 还是在第二类
[00:25:38 -> 00:25:39] 是researcher
[00:25:39 -> 00:25:40] 所以Jeffrey Hinton
[00:25:40 -> 00:25:42] 然后杨乐坤
[00:25:42 -> 00:25:43] 还有Joshua
[00:25:43 -> 00:25:44] 就是图灵讲的
[00:25:44 -> 00:25:45] 这三个人
[00:25:45 -> 00:25:47] 你觉得他们是科学家吗
[00:25:47 -> 00:25:48] 或者是定义的
[00:25:48 -> 00:25:49] 第三类人吗
[00:25:49 -> 00:25:50] 应该是吧
[00:25:50 -> 00:25:50] 不过我没跟他们
[00:25:50 -> 00:25:51] 直接接触过
[00:25:51 -> 00:25:52] 所以我还是不给
[00:25:52 -> 00:25:53] 我直接定论
[00:25:53 -> 00:25:54] 我非常在乎
[00:25:54 -> 00:25:55] 一手信息的
[00:25:55 -> 00:25:56] 我非常在乎truth seeking
[00:25:56 -> 00:25:57] 我不想评价
[00:25:57 -> 00:25:58] 我没接触过的人
[00:25:58 -> 00:25:59] 但既然他们是俗成
[00:25:59 -> 00:25:59] 就这么高
[00:25:59 -> 00:26:00] 他们应该是吧
[00:26:00 -> 00:26:02] 你在谷歌实习
[00:26:02 -> 00:26:03] 是什么时候啊
[00:26:03 -> 00:26:05] 二年的暑假吧
[00:26:05 -> 00:26:05] 应该是
[00:26:05 -> 00:26:07] 在谷歌实习了之后
[00:26:07 -> 00:26:10] 你想要转去做AI的
[00:26:10 -> 00:26:11] 还是在谷歌实习之前
[00:26:11 -> 00:26:13] 你就看到了这个方面
[00:26:13 -> 00:26:15] 有非常大的一个前景
[00:26:15 -> 00:26:16] 然后发展很快了
[00:26:16 -> 00:26:18] 我是在去谷歌之前
[00:26:18 -> 00:26:19] 就想要转AI
[00:26:19 -> 00:26:20] 然后我是因为想转AI
[00:26:20 -> 00:26:21] 所以找了那份实习
[00:26:21 -> 00:26:23] 那份实习是AI for code
[00:26:23 -> 00:26:24] 我之前也尝试了
[00:26:24 -> 00:26:25] 一些其他的纯AI岗
[00:26:25 -> 00:26:26] 他们都不收我
[00:26:26 -> 00:26:27] 我都没有拿到机会
[00:26:27 -> 00:26:29] 这个岗位跟
[00:26:29 -> 00:26:29] programming analysis
[00:26:29 -> 00:26:30] 有一点关系
[00:26:30 -> 00:26:31] 因为这个背景
[00:26:31 -> 00:26:32] 被招进去了
[00:26:32 -> 00:26:33] 所以我接触到了AI
[00:26:33 -> 00:26:34] 但我其实是因为
[00:26:34 -> 00:26:35] 想接触AI进去的
[00:26:35 -> 00:26:36] 但是我进去之后发现
[00:26:36 -> 00:26:37] 当时的人们
[00:26:37 -> 00:26:39] 做AI for coding的时候
[00:26:39 -> 00:26:41] 还企图利用一些
[00:26:41 -> 00:26:42] 原来的programming analysis
[00:26:42 -> 00:26:44] 里面的technique
[00:26:44 -> 00:26:45] 或tools什么的
[00:26:45 -> 00:26:47] 非常的无力
[00:26:47 -> 00:26:48] 其实什么忙都帮不上
[00:26:48 -> 00:26:50] AI忍着幻想说
[00:26:50 -> 00:26:51] 我是不是可以利用一些
[00:26:51 -> 00:26:52] 另外一个领域的工具
[00:26:52 -> 00:26:54] 交叉学科的这种希望
[00:26:54 -> 00:26:56] 利用另外一个领域的工具
[00:26:56 -> 00:26:57] 来帮助更好解决这个问题
[00:26:57 -> 00:26:58] 但是我作为
[00:26:58 -> 00:27:00] 从另一个领域过来的人
[00:27:00 -> 00:27:00] 我其实发现
[00:27:00 -> 00:27:01] 这个工具非常的无力
[00:27:01 -> 00:27:02] 当时就是看到了
[00:27:02 -> 00:27:03] 那个大模型
[00:27:03 -> 00:27:05] 已经是coding之初
[00:27:05 -> 00:27:06] 相反我反而看到了
[00:27:06 -> 00:27:06] 这个大模型
[00:27:06 -> 00:27:07] 其实已经把传统的
[00:27:07 -> 00:27:09] 这个领域里的技术
[00:27:09 -> 00:27:10] 都完全覆盖了
[00:27:10 -> 00:27:10] 那个时候
[00:27:10 -> 00:27:12] 其实还挺早的22年
[00:27:12 -> 00:27:13] 它应该差GPT
[00:27:13 -> 00:27:13] 它还没有出来
[00:27:13 -> 00:27:15] 但是在谷歌内部
[00:27:15 -> 00:27:16] 大家其实已经看到了
[00:27:16 -> 00:27:17] 这个方向了
[00:27:17 -> 00:27:17] 是吗
[00:27:17 -> 00:27:19] 我估计其他的公司
[00:27:19 -> 00:27:19] 肯定也是有的
[00:27:19 -> 00:27:20] 但是确实差GPT
[00:27:20 -> 00:27:21] 还没有出来
[00:27:21 -> 00:27:21] 那个时候是谷歌
[00:27:21 -> 00:27:22] 刚出炮
[00:27:22 -> 00:27:23] 然后内部有那个Lambda
[00:27:23 -> 00:27:25] 就大家其实有所感觉
[00:27:25 -> 00:27:25] 只是没有到
[00:27:25 -> 00:27:26] 全民爆发的阶段
[00:27:26 -> 00:27:27] 当时好像有个
[00:27:27 -> 00:27:28] 谷歌的程序员
[00:27:28 -> 00:27:29] 他号称Lambda
[00:27:29 -> 00:27:31] 是有意识的
[00:27:31 -> 00:27:32] 对 就是那个时候
[00:27:32 -> 00:27:32] 那个时候
[00:27:32 -> 00:27:33] 我们还做了个报道
[00:27:33 -> 00:27:35] 然后还讨论了一下
[00:27:35 -> 00:27:35] 这个AI
[00:27:35 -> 00:27:36] 是不是有意识的
[00:27:36 -> 00:27:38] 对 就是那个时候的事情
[00:27:38 -> 00:27:39] 我相信很多程序员
[00:27:39 -> 00:27:39] 他们可能也是
[00:27:39 -> 00:27:40] 第一次或者是
[00:27:40 -> 00:27:41] 很新鲜的一个感觉
[00:27:41 -> 00:27:43] 去接触AI
[00:27:43 -> 00:27:44] 才会有
[00:27:44 -> 00:27:45] 它到底是不是
[00:27:45 -> 00:27:46] 有意识的这种讨论
[00:27:46 -> 00:27:47] 在那个时候
[00:27:47 -> 00:27:48] 对 其实已经有
[00:27:48 -> 00:27:49] 确实已经很多人
[00:27:49 -> 00:27:49] 是已经看见了
[00:27:49 -> 00:27:50] 那个潜力
[00:27:50 -> 00:27:51] 很大的潜力
[00:27:51 -> 00:27:52] 但是当时的模型潜力
[00:27:52 -> 00:27:53] 离真的生产code
[00:27:53 -> 00:27:55] 还有挺大距离的
[00:27:55 -> 00:27:55] 我记得当时
[00:27:55 -> 00:27:56] 都是做一些
[00:27:56 -> 00:27:58] 生成一两百行的代码
[00:27:58 -> 00:27:59] 当时你们那个小组
[00:27:59 -> 00:28:00] 有多少人啊
[00:28:00 -> 00:28:01] AI for code的那个小组
[00:28:02 -> 00:28:03] 在谷歌内部孵化的
[00:28:03 -> 00:28:04] 创业项目里
[00:28:04 -> 00:28:05] 就Google X里面
[00:28:05 -> 00:28:06] 全职应该
[00:28:06 -> 00:28:07] 我其实有点不记得
[00:28:07 -> 00:28:09] 但好像一二十个人吧
[00:28:09 -> 00:28:09] 然后那个暑假
[00:28:09 -> 00:28:11] 他们非常激进
[00:28:11 -> 00:28:12] 他们想要尝试很多方向
[00:28:12 -> 00:28:13] 所以他们招了
[00:28:13 -> 00:28:14] 跟全职等量的inter
[00:28:14 -> 00:28:16] 让这些inter
[00:28:16 -> 00:28:17] 全都去尝试
[00:28:17 -> 00:28:18] 疯狂尝试不同的方向
[00:28:18 -> 00:28:19] 他们希望能从中
[00:28:19 -> 00:28:20] 看到一点东西
[00:28:20 -> 00:28:21] 那后来这个inter
[00:28:21 -> 00:28:22] 结束的时候
[00:28:22 -> 00:28:23] 大家看到了什么东西
[00:28:23 -> 00:28:25] 我觉得当时那批人
[00:28:25 -> 00:28:26] 其实很多人后面还是
[00:28:26 -> 00:28:28] 很多人就还在做code的
[00:28:28 -> 00:28:28] 那段经历
[00:28:28 -> 00:28:29] 对我的印象很大
[00:28:29 -> 00:28:30] 它让我看见了
[00:28:30 -> 00:28:31] 因为我原来是
[00:28:31 -> 00:28:32] 不知道AI是什么
[00:28:32 -> 00:28:33] 什么事情的一个人
[00:28:33 -> 00:28:34] 我经验之后看见了
[00:28:34 -> 00:28:35] AI原来这么多powerful
[00:28:35 -> 00:28:36] 我发现原来
[00:28:36 -> 00:28:37] 根本就不需要
[00:28:37 -> 00:28:38] 什么显示的reasoning
[00:28:38 -> 00:28:39] 我是被shock到的
[00:28:39 -> 00:28:39] 那个人
[00:28:39 -> 00:28:41] 它让我非常坚定地
[00:28:41 -> 00:28:43] 进入了这个新的topic
[00:28:43 -> 00:28:43] 然后我就要做
[00:28:43 -> 00:28:44] 就要做大模型
[00:28:44 -> 00:28:46] 但大模型其实有很多分支
[00:28:46 -> 00:28:47] 跟不同的vertical嘛
[00:28:47 -> 00:28:48] 但是你选择了
[00:28:48 -> 00:28:51] 做infra的那个赛道
[00:28:51 -> 00:28:51] 为什么呢
[00:28:51 -> 00:28:53] 其实也不是我选择
[00:28:53 -> 00:28:54] 我其实也尝试了那个
[00:28:54 -> 00:28:56] 不是infra赛道的
[00:28:56 -> 00:28:57] 就是分析一下
[00:28:57 -> 00:28:57] 算法上的事情
[00:28:57 -> 00:28:58] 但我发现
[00:28:58 -> 00:28:59] 我更适合infra
[00:28:59 -> 00:29:00] 我那边可能没有太成功
[00:29:00 -> 00:29:01] infra成功了
[00:29:01 -> 00:29:02] 所以最后登赛了
[00:29:02 -> 00:29:02] 就是我的爆发
[00:29:02 -> 00:29:03] 都在infra那一侧
[00:29:03 -> 00:29:04] 做infra跟我的
[00:29:04 -> 00:29:05] 思维习惯更接近
[00:29:05 -> 00:29:07] 它是可reason的
[00:29:07 -> 00:29:07] 确定性的
[00:29:07 -> 00:29:08] 基于数学的
[00:29:08 -> 00:29:09] 然后基于代码
[00:29:09 -> 00:29:10] 数学和代码
[00:29:10 -> 00:29:10] 这两件事情
[00:29:10 -> 00:29:11] 我都很熟悉
[00:29:11 -> 00:29:12] 能不能说一下
[00:29:12 -> 00:29:14] 就是你最开始
[00:29:14 -> 00:29:15] 做SG Lane
[00:29:15 -> 00:29:16] 是什么样的一个奇迹
[00:29:16 -> 00:29:17] 我转了AI之后
[00:29:17 -> 00:29:19] 最后PhD的两年
[00:29:19 -> 00:29:19] 就是在做
[00:29:19 -> 00:29:21] LM inference相关的
[00:29:21 -> 00:29:22] 很多work
[00:29:22 -> 00:29:22] 所以这是我的
[00:29:22 -> 00:29:23] 第一个work
[00:29:23 -> 00:29:24] 连续的一系列work
[00:29:24 -> 00:29:25] 到SG Lane
[00:29:25 -> 00:29:26] 它类似于成为了
[00:29:26 -> 00:29:27] 一个收官之作
[00:29:27 -> 00:29:28] 我那个时候就是PhD
[00:29:28 -> 00:29:29] 我也毕业了
[00:29:29 -> 00:29:29] 然后我也觉得
[00:29:29 -> 00:29:30] 我已经做了很多
[00:29:30 -> 00:29:32] 不同角度的research
[00:29:32 -> 00:29:33] 但它们都比较local
[00:29:33 -> 00:29:33] SG Lane是
[00:29:33 -> 00:29:35] 我希望把它们
[00:29:35 -> 00:29:36] 都集大成一体的
[00:29:36 -> 00:29:38] 一个作品
[00:29:38 -> 00:29:39] 所以SG Lane的时候
[00:29:39 -> 00:29:40] 我们就开始
[00:29:40 -> 00:29:41] 把它做成开源
[00:29:41 -> 00:29:43] 然后希望走向的是
[00:29:43 -> 00:29:43] production rally
[00:29:43 -> 00:29:44] 这个从一开始就想好了
[00:29:44 -> 00:29:45] 从做SG Lane之初
[00:29:45 -> 00:29:46] 就希望它是
[00:29:46 -> 00:29:47] 做成一个production rally
[00:29:47 -> 00:29:48] 可以被广泛使用的
[00:29:48 -> 00:29:49] 推理引擎
[00:29:49 -> 00:29:50] 被大规模使用的
[00:29:50 -> 00:29:50] 推理引擎
[00:29:50 -> 00:29:52] 其实你在做SG Lane之前
[00:29:52 -> 00:29:54] VLM已经推出了
[00:29:54 -> 00:29:54] 半年多了
[00:29:54 -> 00:29:56] 你之前其实在VLM
[00:29:56 -> 00:29:57] 也是做了一些项目的
[00:29:57 -> 00:29:57] 对吧
[00:29:57 -> 00:29:58] 就是为什么已经有
[00:29:58 -> 00:29:59] 这样的一个东西
[00:29:59 -> 00:30:00] 自己还是想要
[00:30:00 -> 00:30:01] 做SG Lane呢
[00:30:01 -> 00:30:03] 这个历史也比较长
[00:30:03 -> 00:30:05] 我在VLM的
[00:30:05 -> 00:30:06] research paper上
[00:30:06 -> 00:30:07] 这个其实也是
[00:30:07 -> 00:30:08] 我本来自己
[00:30:08 -> 00:30:09] 在做research
[00:30:09 -> 00:30:09] 然后其实当时
[00:30:09 -> 00:30:11] 我听到有这个
[00:30:11 -> 00:30:11] VLM项目的时候
[00:30:11 -> 00:30:13] 它VLM当时的idea
[00:30:13 -> 00:30:15] 跟我们在思考的
[00:30:15 -> 00:30:15] 另一个idea
[00:30:15 -> 00:30:17] 是类似的
[00:30:17 -> 00:30:18] 所以其实当时
[00:30:18 -> 00:30:18] 我是被说
[00:30:18 -> 00:30:20] 那既然我们idea类似
[00:30:20 -> 00:30:20] 那我要不merge进
[00:30:20 -> 00:30:21] 那个项目
[00:30:21 -> 00:30:22] 在我的视角里
[00:30:22 -> 00:30:22] 我是被merge进了
[00:30:22 -> 00:30:23] VLM那个项目
[00:30:23 -> 00:30:24] 因为我觉得
[00:30:24 -> 00:30:25] 这个项目已经在做了
[00:30:25 -> 00:30:25] 我想做的事情
[00:30:25 -> 00:30:26] VLM做开源
[00:30:26 -> 00:30:28] 其实是paper之后的
[00:30:28 -> 00:30:28] 另一个节点
[00:30:30 -> 00:30:31] 真的把它推神
[00:30:31 -> 00:30:32] 开源了之后
[00:30:32 -> 00:30:33] 你就要做很多
[00:30:33 -> 00:30:34] 除了research之外的
[00:30:34 -> 00:30:35] 就是不仅仅是
[00:30:35 -> 00:30:35] innovation的事情
[00:30:35 -> 00:30:37] 你要做项目的维护
[00:30:37 -> 00:30:38] 社区的维护
[00:30:38 -> 00:30:39] 还有很多engineering
[00:30:39 -> 00:30:41] detail的琐事
[00:30:41 -> 00:30:42] 那一段
[00:30:42 -> 00:30:43] 其实我就没有太谈
[00:30:43 -> 00:30:44] 那我还在做
[00:30:44 -> 00:30:45] 继续做我自己的
[00:30:45 -> 00:30:46] 其他的research
[00:30:46 -> 00:30:47] 包括SLR
[00:30:47 -> 00:30:47] S-LAN
[00:30:47 -> 00:30:49] 就是survey里面
[00:30:49 -> 00:30:49] 其他的问题
[00:30:49 -> 00:30:51] 我继续在做research
[00:30:51 -> 00:30:52] S-LAN是一个
[00:30:52 -> 00:30:53] 想要把我的思想
[00:30:53 -> 00:30:54] 能够在一个地方
[00:30:54 -> 00:30:55] 继续往上推的地方
[00:30:55 -> 00:30:56] 本来它也是
[00:30:56 -> 00:30:57] 以某个innovation为起点
[00:30:57 -> 00:30:59] 然后去做成一个
[00:30:59 -> 00:30:59] general engine
[00:30:59 -> 00:31:00] 但我看来是
[00:31:01 -> 00:31:01] 有很多这样的
[00:31:01 -> 00:31:02] survey engine
[00:31:02 -> 00:31:04] S-LAN是其中一个
[00:31:04 -> 00:31:05] 并不是存在
[00:31:05 -> 00:31:06] 我在VLM的
[00:31:06 -> 00:31:07] 这个engine里面
[00:31:07 -> 00:31:08] 然后做到S-LAN
[00:31:08 -> 00:31:10] 那比如说SG-LAN
[00:31:10 -> 00:31:11] 跟VLM的核心
[00:31:11 -> 00:31:13] 差异性有吗
[00:31:13 -> 00:31:13] 老实说
[00:31:13 -> 00:31:15] 其实大家都差不多
[00:31:15 -> 00:31:16] 不同的团队
[00:31:16 -> 00:31:17] 做出来的肯定不一样
[00:31:17 -> 00:31:18] 但是差异性
[00:31:18 -> 00:31:19] 它随着
[00:31:19 -> 00:31:20] 就如果你
[00:31:20 -> 00:31:20] 你不把时间
[00:31:20 -> 00:31:21] 维度放进去的话
[00:31:21 -> 00:31:22] 它们是会类似的
[00:31:22 -> 00:31:24] 因为相互会学习
[00:31:24 -> 00:31:25] 如果你有好东西
[00:31:25 -> 00:31:25] 一定会相互学习
[00:31:25 -> 00:31:26] 会考虑
[00:31:26 -> 00:31:28] 但是你如果
[00:31:28 -> 00:31:29] 把时间放进去的话
[00:31:29 -> 00:31:30] 那每个时刻
[00:31:30 -> 00:31:30] 可能大家会有
[00:31:30 -> 00:31:31] 不同的射程点
[00:31:31 -> 00:31:31] 那如果
[00:31:31 -> 00:31:32] 那比如说S-LAN
[00:31:32 -> 00:31:34] 在更早的进军了
[00:31:34 -> 00:31:35] 这个scale up的方向
[00:31:35 -> 00:31:36] 就是把大规模的
[00:31:36 -> 00:31:37] survey production
[00:31:37 -> 00:31:38] 这种千卡级别
