# 转录元数据（whisper.cpp + VAD 原始输出，未修标点未纠错）
# 节目：帆书视频播客 · 第49期
# 标题：身体出现这些信号，可能是炎症在提醒你！三甲医生教你3个自查方法
# 主播：帆书主播（「范老师」，疑为樊登[?]）｜ 嘉宾：金博医生（三甲医生）
# 平台：B站 https://www.bilibili.com/video/BV1j18i6VEtn/
# 发布日期：2026-08-21 ｜ 时长：17m50s（1070s）｜ 段数：602
# pipeline：opencli bilibili download（绕 B站 412）→ ffmpeg → whisper.cpp / ggml-large-v3 / Metal / -l zh / --vad（silero）
# 校验源：B站官方字幕（opencli bilibili subtitle；ASR 产物自身有少量错误，已甄别标注）
[00:13:03 -> 00:13:06] 它是非常好的一种抗氧化剂
[00:13:06 -> 00:13:08] 所以我们中国的《山神指南》
[00:13:08 -> 00:13:11] 指导我们每人每天至少要吃一斤的蔬菜
[00:13:11 -> 00:13:14] 其中深色的蔬菜要占一半
[00:13:14 -> 00:13:15] 就是这个道理
[00:13:15 -> 00:13:17] 看这里还有一个小的知识点
[00:13:17 -> 00:13:19] 就是有一些蔬菜
[00:13:19 -> 00:13:20] 它的皮是绿的
[00:13:20 -> 00:13:21] 芯是白的
[00:13:21 -> 00:13:22] 不算数
[00:13:22 -> 00:13:25] 比如说南瓜
[00:13:25 -> 00:13:26] 黄瓜
[00:13:26 -> 00:13:28] 这些也不属于深色的绿叶菜
[00:13:28 -> 00:13:30] 那只有菠菜
[00:13:30 -> 00:13:33] 什么芹菜
[00:13:33 -> 00:13:35] 这些是属于深色绿叶菜
[00:13:35 -> 00:13:36] 对
[00:13:36 -> 00:13:39] 颜色越深的蔬菜反正对身体的营养越好
[00:13:39 -> 00:13:40] 另外Omega-6在哪里呢
[00:13:40 -> 00:13:41] 就是书中提到
[00:13:41 -> 00:13:45] Omega-6主要现在用做菜的植物油当中含量极高
[00:13:45 -> 00:13:47] 作者用了极高这两个字
[00:13:47 -> 00:13:48] 所以在我们现代人的饮食当中
[00:13:48 -> 00:13:50] 其实Omega-6不缺
[00:13:50 -> 00:13:52] 反而是超标的
[00:13:52 -> 00:13:53] 所以怎么去做
[00:13:53 -> 00:13:56] 我觉得除了我们要补充Omega-3之外
[00:13:56 -> 00:13:58] 尽可能的少点外卖
[00:13:58 -> 00:13:59] 少在外面吃饭
[00:13:59 -> 00:14:02] 因为这个外面餐厅里面做的饭
[00:14:02 -> 00:14:03] 毕竟油大
[00:14:03 -> 00:14:05] 会让体内的Omega-6超标
[00:14:05 -> 00:14:08] 使我们体内产生慢性的炎症
[00:14:08 -> 00:14:12] 这个书的作者还专门讲了一张叫甜的咸的要命的
[00:14:12 -> 00:14:15] 这个是不是跟现代人的加工食品有关
[00:14:15 -> 00:14:16] 对
[00:14:16 -> 00:14:17] 他还特别提到加工食品
[00:14:17 -> 00:14:18] 咱们先说盐
[00:14:18 -> 00:14:21] 我们有听过一句话叫做在伤口上撒盐
[00:14:21 -> 00:14:25] 盐本身就是能够引发炎症的
[00:14:25 -> 00:14:28] 因为它会呼唤巨石细胞过来
[00:14:28 -> 00:14:32] 首先盐也是很重要的一个我们身体当中离不开的东西
[00:14:32 -> 00:14:36] 因为它会维持我们细胞的生命活动
[00:14:36 -> 00:14:38] 如果没有盐的话
[00:14:38 -> 00:14:39] 人的生命也是没有办法继续
[00:14:39 -> 00:14:42] 但是同样剂量是关键
[00:14:42 -> 00:14:43] 如果你吃盐超标
[00:14:43 -> 00:14:48] 我们既往认为高血压跟吃盐过度有关系
[00:14:48 -> 00:14:50] 因为你体内盐含量增多以后
[00:14:50 -> 00:14:52] 它会把细胞的水分做出来
[00:14:52 -> 00:14:54] 你血管当中的血液量又增加了
[00:14:54 -> 00:14:55] 但这只是一方面
[00:14:55 -> 00:14:57] 后来人们发现过高的含盐量
[00:14:57 -> 00:15:00] 也有可能会引发血管里面的炎症
[00:15:00 -> 00:15:02] 所以也加重了高血压的产生
[00:15:02 -> 00:15:03] 因此我国膳食指南
[00:15:03 -> 00:15:07] 这个指导我们现在吃盐每天不要超过六克
[00:15:07 -> 00:15:08] 是多少呢
[00:15:08 -> 00:15:10] 基本上一勺盐这么多
[00:15:10 -> 00:15:11] 每天
[00:15:11 -> 00:15:14] 这太难剂量了
[00:15:14 -> 00:15:15] 因为我们吃的都是做成的包子
[00:15:15 -> 00:15:17] 没法知道它里边有多少盐
[00:15:17 -> 00:15:19] 所以尽可能我们还是
[00:15:19 -> 00:15:22] 在现代生活当中吃的还是稍微清淡一点好
[00:15:22 -> 00:15:26] 因为很容易盐就达标或者超标了
[00:15:26 -> 00:15:27] 这是盐
[00:15:27 -> 00:15:29] 还有过甜的东西
[00:15:29 -> 00:15:32] 糖也是这样
[00:15:32 -> 00:15:35] 就是现代饮食当中有个特别不好的就是
[00:15:35 -> 00:15:37] 添加糖
[00:15:37 -> 00:15:39] 还包括蔗糖
[00:15:39 -> 00:15:40] 在所有添加糖当中
[00:15:40 -> 00:15:42] 有一种大家是特别要注意的
[00:15:42 -> 00:15:44] 叫做高果糖玉米糖浆
[00:15:44 -> 00:15:50] 它是把玉米进行水解和提炼以后所制造出来的一种糖浆
[00:15:50 -> 00:15:52] 它的本质上是一种果糖
[00:15:52 -> 00:15:56] 这个果糖是葡萄糖的同分异构体
[00:15:56 -> 00:15:58] 它进入到体内以后
[00:15:58 -> 00:16:00] 它会绕开一道素
[00:16:00 -> 00:16:01] 所以不会让你产生饱腹感
[00:16:01 -> 00:16:04] 所以你看我们很少有人说
[00:16:04 -> 00:16:07] 能够抱着一罐白砂糖一边吃一边看电视的
[00:16:07 -> 00:16:07] 但是
[00:16:07 -> 00:16:09] 这个果葡糖浆做成的零食饮料
[00:16:09 -> 00:16:11] 你可以一直吃
[00:16:11 -> 00:16:13] 因为它绕开了一道素
[00:16:13 -> 00:16:13] 而且呢
[00:16:13 -> 00:16:15] 它会扰乱你人体的代谢
[00:16:15 -> 00:16:18] 所以这种高糖的东西
[00:16:18 -> 00:16:22] 它都会促进我们体内炎症的产生
[00:16:22 -> 00:16:24] 而且还会引发很多代谢的问题
[00:16:24 -> 00:16:28] 所以我们现代的营养学的专家建议我们大家就是这些糖都可以不吃
[00:16:28 -> 00:16:30] 因为它只会给你提供热量
[00:16:30 -> 00:16:32] 没有任何营养的价值
[00:16:32 -> 00:16:35] 少吃甚至不吃零食是对的
[00:16:35 -> 00:16:37] 当然这些零食饮料啊
[00:16:37 -> 00:16:37] 确实能够
[00:16:37 -> 00:16:38] 短暂提高多巴胺的水分
[00:16:38 -> 00:16:39] 让我们愉快啊
[00:16:39 -> 00:16:41] 愉快当然也很重要
[00:16:41 -> 00:16:43] 但是所有的东西都要讲究一个度啊
[00:16:43 -> 00:16:45] 不要吃的太多
[00:16:45 -> 00:16:45] 喝的太多
[00:16:45 -> 00:16:46] 特别是小朋友
[00:16:46 -> 00:16:49] 因为小孩对于糖来说是完全没有抵抗力
[00:16:49 -> 00:16:50] 他们可以一天不喝水
[00:16:50 -> 00:16:51] 全喝饮料
[00:16:51 -> 00:16:52] 这样对身体肯定是不好的
[00:16:52 -> 00:16:56] 有的人二三十岁就已经身体器官都出问题了
[00:16:56 -> 00:16:58] 是开始进医院了
[00:16:58 -> 00:17:03] 所以过度的糖炎止也会导致我们身体内的炎性成分增高
[00:17:03 -> 00:17:06] 是作者还提到了
[00:17:06 -> 00:17:08] 就是有一种食物
[00:17:08 -> 00:17:12] 吃了以后也会对我们身体的炎症状态有改变
[00:17:12 -> 00:17:13] 这就是纤维
[00:17:13 -> 00:17:14] 什么是纤维
[00:17:14 -> 00:17:19] 纤维其实就是我们植物当中人体消化不了的那些渣渣
[00:17:19 -> 00:17:22] 但这些纤维有非常好的帮助我们消炎的作用
[00:17:22 -> 00:17:24] 一方面它可以构成我们的粪便
[00:17:24 -> 00:17:25] 粪便通过肠道的时候
[00:17:25 -> 00:17:27] 对肠道进行一个按摩
[00:17:27 -> 00:17:30] 而且还会让人产生适当的饱腹感
[00:17:30 -> 00:17:33] 而且它是肠道细菌最喜欢的食物
[00:17:33 -> 00:17:36] 所以我们管它叫做益生元
[00:17:36 -> 00:17:38] 这个我们的肠道在消化纤维的时候
[00:17:38 -> 00:17:39] 它会使得我们的肠道变强
[00:17:39 -> 00:17:41] 会产生很多帮助我们消炎的一些代谢产物
[00:17:41 -> 00:17:42] 对健康是好
[00:17:42 -> 00:17:44] 所以我们适当的多吃一些植物性的食物
[00:17:44 -> 00:17:46] 你会发现第二天整个人身体都是轻松的
