# 《你到底该不该吃早餐?这期告诉你早餐的真相》— 原始转录

> **节目**：鹿哥Gustav（B站知识区 UP 主，UID 419836775）
> **来源**：B站 · BV1HUNk6MEY5 · 发布 2026-07-14
> **时长**：16min56s（1016 秒）
> **下载**：opencli bilibili download（浏览器登录态；yt-dlp 直连被 B站 412 反爬拦截，bili-cli audio 接口故障）
> **转录**：whisper.cpp / ggml-large-v3 / Metal 加速 / 645 段 / 5,842 汉字 / 语速 345 字/min
> **校验源**：B站官方字幕（577 条，opencli bilibili subtitle 拉取）——替代小宇宙 shownotes 的修正源角色

---

[00:00:00 --> 00:00:02]  这是一期告诉你,你到底该不该吃早餐的视频
[00:12:20 --> 00:12:23]  但是也有研究结论是正好反过来的
[00:12:23 --> 00:12:23]  2015年
[00:12:23 --> 00:12:25]  以色列的雅各布维兹团队
[00:12:25 --> 00:12:26]  做了一个交叉试验
[00:12:26 --> 00:12:28]  题目直接把结论摆出来了
[00:12:28 --> 00:12:29]  就是空腹到中午
[00:12:29 --> 00:12:32]  会让午餐和晚餐后的血糖更高
[00:12:32 --> 00:12:34]  他们找了22个二线糖尿病的病人
[00:12:34 --> 00:12:35]  让他们在午饭和晚饭
[00:12:35 --> 00:12:36]  尽量吃的是一样的
[00:12:36 --> 00:12:37]  唯一的区别就是
[00:12:37 --> 00:12:39]  这一天吃不吃早餐
[00:12:39 --> 00:12:40]  结果呢
[00:12:40 --> 00:12:41]  不吃早餐的那一天
[00:12:41 --> 00:12:43]  午餐后的血糖高了大约37%
[00:12:43 --> 00:12:46]  晚餐后的血糖大约高了27%
[00:12:46 --> 00:12:47]  那这组人跳过了早餐
[00:12:47 --> 00:12:50]  后面两顿反而更难压住血糖
[00:12:50 --> 00:12:52]  那一个说不吃早餐血糖更稳
[00:12:52 --> 00:12:54]  一个说不吃早餐血糖更重
[00:12:54 --> 00:12:56]  那两边都是二级糖尿病的病人
[00:12:56 --> 00:12:57]  两边也都是正经的研究
[00:12:57 --> 00:12:59]  结论却完全相反
[00:12:59 --> 00:13:01]  这也是生物医学这个领域的常态了
[00:13:01 --> 00:13:02]  其实大家的证据都不足
[00:13:02 --> 00:13:04]  靠的都是一些小样本来总结结论
[00:13:04 --> 00:13:05]  不过这个问题啊
[00:13:05 --> 00:13:06]  你可以这么看
[00:13:06 --> 00:13:08]  糖尿病的病人早餐会不会危险
[00:13:08 --> 00:13:10]  那现在还没有一个很明确的定论
[00:13:10 --> 00:13:12]  但如果你不是糖尿病的病人
[00:13:12 --> 00:13:13]  那这跟你没什么关系啊
[00:13:13 --> 00:13:15]  寄来自己书里面也说了
[00:13:15 --> 00:13:16]  身材匀称
[00:13:16 --> 00:13:19]  年轻健康的人照吃早餐没任何问题
[00:13:19 --> 00:13:20]  偶尔不吃呢
[00:13:20 --> 00:13:21]  也没有什么问题
[00:13:21 --> 00:13:22]  真正影响我们健康的
[00:13:22 --> 00:13:24]  其实是另外一件事
[00:13:24 --> 00:13:25]  我们放在最后说
[00:13:25 --> 00:13:31]  我们先来讲清楚啊
[00:13:31 --> 00:13:33]  就是哪一些人是一定要吃早饭的
[00:13:33 --> 00:13:35]  首先就是上午工作强度很大
[00:13:35 --> 00:13:36]  消耗很大的人
[00:13:36 --> 00:13:36]  比如说呢
[00:13:36 --> 00:13:37]  学生上班族
[00:13:37 --> 00:13:39]  如果没有充足的提前准备
[00:13:39 --> 00:13:41]  就会能量不足
[00:13:41 --> 00:13:41]  甚至低血糖
[00:13:41 --> 00:13:45]  我们虽然说早餐并不是我们身体的生理时钟
[00:13:45 --> 00:13:46]  但它从工业革命以后啊
[00:13:46 --> 00:13:47]  就是工厂的时钟了
[00:13:47 --> 00:13:49]  工厂学校公司
[00:13:49 --> 00:13:50]  这些地方的时钟决定了
[00:13:50 --> 00:13:52]  你的上午是需要准备充足燃料的
[00:13:52 --> 00:13:54]  所以这类人是必须要吃的
[00:13:54 --> 00:13:55]  还有另外一类人
[00:13:55 --> 00:13:57]  还是回到糖尿病病人的身上
[00:13:57 --> 00:13:59]  那就是打胰岛素的
[00:13:59 --> 00:14:01]  或者是吃降糖药的糖尿病病人
[00:14:01 --> 00:14:03]  那这些物质本身就会降低血糖
[00:14:03 --> 00:14:04]  在这种情况下
[00:14:04 --> 00:14:05]  你要是再把饭跳了
[00:14:05 --> 00:14:08]  血糖很有可能会下降到非常危险的程度
[00:14:08 --> 00:14:10]  糖尿病病人低血糖的风险
[00:14:10 --> 00:14:10]  主要就是这类人
[00:14:10 --> 00:14:11]  所以啊
[00:14:11 --> 00:14:12]  如果你是糖尿病的病人
[00:14:12 --> 00:14:13]  同时在用药
[00:14:13 --> 00:14:15]  跳餐之前一定得先问医生
[00:14:15 --> 00:14:17]  别自己在那里瞎改
[00:14:17 --> 00:14:18]  那鸡来的案例呢
[00:14:18 --> 00:14:19]  它其实很特殊
[00:14:19 --> 00:14:20]  它自己就是一个科学家
[00:14:20 --> 00:14:22]  一直在研究和监控自己的身体
[00:14:22 --> 00:14:23]  我们大部分的普通人
[00:14:23 --> 00:14:25]  其实是没有这个条件的
[00:14:25 --> 00:14:26]  所以就不要冒险
[00:14:26 --> 00:14:27]  那具体的早餐应该怎么吃呢
[00:14:27 --> 00:14:29]  实际上最好的推荐是鸡蛋
[00:14:29 --> 00:14:31]  它主要是蛋白质和脂肪
[00:14:31 --> 00:14:32]  不怎么往上顶血糖
[00:14:32 --> 00:14:34]  再比如草莓蓝莓这类浆果
[00:14:34 --> 00:14:35]  生糖比较低
[00:14:35 --> 00:14:36]  纤维还比较多
[00:14:36 --> 00:14:38]  天然的奶酪配上生菜也行
[00:14:38 --> 00:14:39]  尽量避开的是什么呢
[00:14:39 --> 00:14:41]  培根香肠烟熏三文鱼
[00:14:41 --> 00:14:42]  这种加工肉
[00:14:42 --> 00:14:45]  羊角面包蛋糕果酱蜂蜜果汁啊
[00:14:45 --> 00:14:47]  这类一口下去全是糖的东西
[00:14:47 --> 00:14:48]  还有就是粥啊
[00:14:48 --> 00:14:49]  什么烟麦片啊
[00:14:49 --> 00:14:50]  这类谷物
[00:14:50 --> 00:14:51]  那还有一招就是给那些
[00:14:51 --> 00:14:53]  必须要吃早餐的糖尿病病人的建议
[00:14:53 --> 00:14:55]  就是你早上这顿饭
[00:14:55 --> 00:14:56]  如果你真的躲不掉
[00:14:56 --> 00:14:59]  你可以在正经吃这一顿之前的一个小时
[00:14:59 --> 00:15:01]  先吃一个水煮蛋或者是半块奶酪
[00:15:01 --> 00:15:03]  让这些蛋白质和脂质垫一下
[00:15:03 --> 00:15:05]  把自己身体处理糖的那套系统
[00:15:05 --> 00:15:06]  提前预热好
[00:15:06 --> 00:15:08]  等碳水再进来的时候呢
[00:15:08 --> 00:15:09]  它已经在港了
[00:15:09 --> 00:15:10]  这么一垫
[00:15:10 --> 00:15:12]  可以把这顿早餐的血糖往下压一截
[00:15:12 --> 00:15:13]  不过呢
[00:15:13 --> 00:15:14]  当我们把早餐啊
[00:15:14 --> 00:15:15]  这件事情继续往深入了看
[00:15:15 --> 00:15:16]  你会发现
[00:15:16 --> 00:15:17]  真正影响健康的
[00:15:17 --> 00:15:18]  根本就不是这顿饭
[00:15:18 --> 00:15:19]  我不说啊
[00:15:19 --> 00:15:19]  大家都知道
[00:15:19 --> 00:15:21]  不吃早餐的人往往也熬夜
[00:15:21 --> 00:15:22]  作息也乱
[00:15:22 --> 00:15:23]  毛病也多
[00:15:23 --> 00:15:24]  那根本就没有上午
[00:15:24 --> 00:15:26]  听上去好像不吃早餐
[00:15:26 --> 00:15:27]  把它搞坏了
[00:15:27 --> 00:15:28]  那其实是因果倒置了
[00:15:28 --> 00:15:30]  不是早餐让人健康
[00:15:30 --> 00:15:31]  是作息规律的人
[00:15:31 --> 00:15:33]  顺手就把早餐吃了而已
[00:15:33 --> 00:15:34]  你要是作息规律
[00:15:34 --> 00:15:35]  早上要上班
[00:15:35 --> 00:15:36]  要出门
[00:15:36 --> 00:15:36]  要消耗
[00:15:36 --> 00:15:38]  那顿饭就是顺理成章的
[00:15:38 --> 00:15:38]  吃就是了
[00:15:38 --> 00:15:40]  你要是黑白颠倒
[00:15:40 --> 00:15:41]  中午才睁眼
[00:15:41 --> 00:15:42]  压根就没有上午
[00:15:42 --> 00:15:43]  还非得盯个闹钟啊
[00:15:43 --> 00:15:44]  爬起来塞一口
[00:15:44 --> 00:15:45]  那不叫养生
[00:15:45 --> 00:15:46]  那叫执念
[00:15:46 --> 00:15:48]  就是把早餐本身当成了一种神话
[00:15:48 --> 00:15:50]  讲到这啊
[00:15:50 --> 00:15:51]  我再说一个重要的研究
[00:15:51 --> 00:15:52]  清晨的阳光
[00:15:52 --> 00:15:53]  2011年的时候
[00:15:53 --> 00:15:55]  美国芝加哥大学范考特团队
[00:15:55 --> 00:15:55]  做过一个实验
[00:15:55 --> 00:15:57]  他们找了八个健康的男人
[00:15:57 --> 00:15:59]  让他们连着36小时不睡觉
[00:15:59 --> 00:16:01]  一直待在很暗的光里面
[00:16:01 --> 00:16:02]  然后挑了两个时间
[00:16:02 --> 00:16:04]  分别给他们照三个钟头的强光
[00:16:04 --> 00:16:07]  第一波安排在清晨的5点到8点
[00:16:07 --> 00:16:09]  另外一波安排在下午的1点到4点
[00:16:09 --> 00:16:11]  每隔15分钟抽一次血
[00:16:11 --> 00:16:13]  听他们的皮质醇是怎么变的
[00:16:13 --> 00:16:14]  皮质醇就是我们前面提到的
[00:16:14 --> 00:16:16]  那个早上喊你起床的激素
[00:16:16 --> 00:16:17]  结果清晨的那一波
[00:16:17 --> 00:16:18]  强光一照
[00:16:18 --> 00:16:20]  皮质醇几乎是立刻往上冲的
[00:16:20 --> 00:16:21]  升了一半多
[00:16:21 --> 00:16:22]  那下午的那一波
[00:16:22 --> 00:16:23]  同样照高强度的光照
[00:16:23 --> 00:16:25]  但是照了跟没照一样
[00:16:25 --> 00:16:26]  皮质醇纹丝不动
[00:16:26 --> 00:16:27]  那这说明什么呢
[00:16:27 --> 00:16:28]  就是你身体里面
[00:16:28 --> 00:16:30]  那个感知一天开始的
[00:16:30 --> 00:16:30]  那个生理时钟
[00:16:30 --> 00:16:32]  撬开的开关
[00:16:32 --> 00:16:33]  其实是早晨的阳光
[00:16:33 --> 00:16:35]  并不是你吃的早饭
[00:16:35 --> 00:16:36]  所以你妈妈每天早上
[00:16:36 --> 00:16:37]  逼你吃的那顿饭
[00:16:37 --> 00:16:39]  实际上认真来看
[00:16:39 --> 00:16:40]  它是对的
[00:16:40 --> 00:16:41]  不是这顿饭有多重要
[00:16:41 --> 00:16:43]  是她希望你能够有一个
[00:16:43 --> 00:16:44]  更健康的作息
[00:16:44 --> 00:16:46]  以及一个可以认真对待
[00:16:46 --> 00:16:47]  每一天生活的态度
[00:16:47 --> 00:16:48]  OK
[00:16:48 --> 00:16:49]  以上就是本期的全部内容了
[00:16:49 --> 00:16:50]  如果觉得本期内容
[00:16:50 --> 00:16:51]  对你有帮助的话
[00:16:51 --> 00:16:52]  也麻烦转发
[00:16:52 --> 00:16:54]  给你身边的朋友和家人
[00:16:54 --> 00:16:55]  咱们下期再见
