# 《一红16年，干啥啥赚钱？｜屠龙博士创业的秘密！》— 原始转录

> **节目**：课代表立正（B站 UP 主，UID 491306902）对谈 **屠龙博士**
> **来源**：B站 · BV1krM46BEpn · 发布 2026-07-07
> **时长**：1h35m18s（5718 秒）
> **下载**：opencli bilibili download（浏览器登录态；yt-dlp 被 B站 412 反爬拦截）
> **转录**：whisper.cpp / ggml-large-v3 / Metal 加速 / 4,502 段 / 32,090 汉字 / 语速 337 字/min
> **校验源**：B站官方字幕（2,860 条，opencli bilibili subtitle 拉取）——替代小宇宙 shownotes 的修正源角色

---

[00:00:00 --> 00:00:01]  有一个网红偷我们的用户讯息
[00:22:28 --> 00:22:29]  来自书
[00:22:29 --> 00:22:31]  30%来自玩具
[00:22:31 --> 00:22:32]  50%来自咖啡
[00:22:32 --> 00:22:33]  你要在线下书店
[00:22:33 --> 00:22:34]  你必须加咖啡
[00:22:34 --> 00:22:35]  你要不加咖啡
[00:22:35 --> 00:22:36]  一定亏损的
[00:22:36 --> 00:22:37]  这就是国内图书市场
[00:22:37 --> 00:22:38]  非常可怕
[00:22:38 --> 00:22:39]  现在微博还是关注流吗
[00:22:39 --> 00:22:41]  还是已经大部分是推荐流了
[00:22:41 --> 00:22:43]  微博试图加一些推荐流
[00:22:43 --> 00:22:45]  它会推荐一些
[00:22:45 --> 00:22:46]  你觉得特恶心
[00:22:46 --> 00:22:47]  它讨厌的人
[00:22:47 --> 00:22:47]  我现在觉得
[00:22:47 --> 00:22:48]  微博针对我
[00:22:48 --> 00:22:49]  给我推的都是
[00:22:49 --> 00:22:51]  我讨厌的那种人
[00:22:51 --> 00:22:51]  然后呢
[00:22:51 --> 00:22:52]  我也想它可能是
[00:22:52 --> 00:22:54]  故意想让我跟他们吵架
[00:22:54 --> 00:22:55]  这样引发流量
[00:22:55 --> 00:22:56]  我喜欢的人
[00:22:56 --> 00:22:57]  它永远不会推荐的
[00:22:57 --> 00:22:59]  它推的都是我讨厌的
[00:22:59 --> 00:23:00]  把最恶心的人
[00:23:00 --> 00:23:01]  直接推送到你面前
[00:23:01 --> 00:23:03]  然后叫随时随地发现新鲜事
[00:23:03 --> 00:23:04]  随时随地发现恶心人
[00:23:04 --> 00:23:05]  对吧
[00:23:05 --> 00:23:07]  挺有用的
[00:23:07 --> 00:23:08]  我觉得恶心人是最能
[00:23:08 --> 00:23:11]  引起表达语和各种情绪的
[00:23:11 --> 00:23:12]  我觉得也挺好的
[00:23:12 --> 00:23:13]  它是一种反推荐算法
[00:23:13 --> 00:23:14]  推荐算法都是
[00:23:14 --> 00:23:15]  推你喜欢的
[00:23:15 --> 00:23:17]  微博专门捡你恶心的
[00:23:17 --> 00:23:19]  不光微博
[00:23:19 --> 00:23:19]  我觉得有的时候
[00:23:19 --> 00:23:21]  在其他一些平台上
[00:23:21 --> 00:23:21]  能看到就是
[00:23:21 --> 00:23:22]  你想进点进去
[00:23:22 --> 00:23:23]  骂他一下的那种
[00:23:23 --> 00:23:24]  就是他有时候会
[00:23:24 --> 00:23:25]  玩你的情绪
[00:23:25 --> 00:23:27]  根据你平时点赞的
[00:23:27 --> 00:23:27]  可能东西
[00:23:27 --> 00:23:29]  我觉得他会去找你
[00:23:29 --> 00:23:30]  性格的反面的人
[00:23:30 --> 00:23:32]  然后就猜测
[00:23:32 --> 00:23:32]  你看这个人
[00:23:32 --> 00:23:33]  肯定觉得他最恶心
[00:23:33 --> 00:23:34]  对吧
[00:23:34 --> 00:23:35]  然后你要抑制住
[00:23:35 --> 00:23:36]  不要给他骗流量
[00:23:36 --> 00:23:38]  有时候抑制不住
[00:23:38 --> 00:23:39]  要么是猎奇
[00:23:39 --> 00:23:40]  要么是抱着
[00:23:40 --> 00:23:41]  看傻逼的心态
[00:23:41 --> 00:23:41]  要么就是
[00:23:41 --> 00:23:44]  那之前怎么成为一个大V的
[00:23:44 --> 00:23:45]  怎么成为大V这件事
[00:23:45 --> 00:23:47]  我觉得有好几个因素
[00:23:47 --> 00:23:47]  综合在一起
[00:23:47 --> 00:23:49]  我没有花一分钱
[00:23:49 --> 00:23:50]  给自己买流量
[00:23:50 --> 00:23:52]  但是我在搞书店之前
[00:23:52 --> 00:23:54]  应该有接近200万粉丝
[00:23:54 --> 00:23:55]  这怎么搞的呢
[00:23:55 --> 00:23:57]  第一个重要因素是
[00:23:57 --> 00:23:58]  我做得早
[00:23:58 --> 00:24:00]  我是10年就开始写微博了
[00:24:00 --> 00:24:01]  离开时间就开始写
[00:24:01 --> 00:24:02]  这是第一
[00:24:02 --> 00:24:04]  第二是我扛过了
[00:24:04 --> 00:24:06]  我们叫做指数增长期
[00:24:06 --> 00:24:09]  现在很多网红扛不过这个东西
[00:24:09 --> 00:24:10]  什么叫指数增长期呢
[00:24:10 --> 00:24:11]  就是说
[00:24:11 --> 00:24:12]  你刚开始粉丝
[00:24:12 --> 00:24:13]  一定是平趴着的
[00:24:13 --> 00:24:15]  然后你会突然到了一个点
[00:24:15 --> 00:24:16]  直直上去
[00:24:16 --> 00:24:19]  就它不像很多人想象的
[00:24:19 --> 00:24:20]  正反馈那么强烈
[00:24:20 --> 00:24:22]  但是后边推荐流平台
[00:24:22 --> 00:24:23]  会给你一些正反馈
[00:24:23 --> 00:24:24]  你比如说他们有些人
[00:24:24 --> 00:24:25]  刚开始做小红书的
[00:24:25 --> 00:24:26]  就说一个月几千本
[00:24:26 --> 00:24:27]  一个月几千本
[00:24:27 --> 00:24:28]  但那种东西
[00:24:28 --> 00:24:29]  它是平台给你惯的
[00:24:29 --> 00:24:31]  那个人他不是真正认你这个人
[00:24:31 --> 00:24:32]  他是认平台的
[00:24:32 --> 00:24:33]  你后边平台不给你惯的时候
[00:24:33 --> 00:24:34]  你会什么都没有的
[00:24:34 --> 00:24:36]  真正不靠平台给你惯
[00:24:36 --> 00:24:37]  是你自己通过别人
[00:24:37 --> 00:24:38]  觉得你好关注你的
[00:24:38 --> 00:24:41]  他头几年一定粉丝是趴着的
[00:24:41 --> 00:24:42]  几乎所有人类
[00:24:42 --> 00:24:43]  都会脑子里有线性模型
[00:24:43 --> 00:24:44]  你比如说我认为
[00:24:44 --> 00:24:45]  我今年粉丝是5000
[00:24:45 --> 00:24:47]  明年就能涨到8000
[00:24:47 --> 00:24:48]  后年就能涨到1万
[00:24:48 --> 00:24:49]  大后年涨到1万2
[00:24:49 --> 00:24:51]  他们都会觉得是这么着线性涨
[00:24:51 --> 00:24:52]  或者稍微脱离线性
[00:24:52 --> 00:24:53]  但不是的
[00:24:53 --> 00:24:54]  实际上来说
[00:24:57 --> 00:25:00]  我从0粉丝到5万粉丝用了7年
[00:25:00 --> 00:25:02]  从5万到80万只用了半年
[00:25:02 --> 00:25:03]  就是他过了5万
[00:25:03 --> 00:25:05]  虽然说他夸一下折上去了
[00:25:05 --> 00:25:07]  如果从80万到160万
[00:25:07 --> 00:25:07]  可能又用了半年
[00:25:07 --> 00:25:09]  所以大家理解吧
[00:25:09 --> 00:25:11]  但是我有一个很好的地方就是
[00:25:11 --> 00:25:13]  我那个5万粉丝
[00:25:13 --> 00:25:15]  就从0涨到5万
[00:25:15 --> 00:25:16]  铁粉的这7年
[00:25:16 --> 00:25:17]  我在美国
[00:25:17 --> 00:25:18]  我还想做research
[00:25:18 --> 00:25:20]  我没着急变现
[00:25:20 --> 00:25:21]  一分钱没拿
[00:25:21 --> 00:25:22]  也一分钱没投
[00:25:22 --> 00:25:23]  就每天写每天写
[00:25:23 --> 00:25:25]  导致我的idea
[00:25:25 --> 00:25:27]  不受任何人的bias
[00:25:27 --> 00:25:28]  没有受任何影响
[00:25:28 --> 00:25:30]  没有受钱的bias
[00:25:30 --> 00:25:31]  没有受商业冲击的bias
[00:25:31 --> 00:25:33]  没有受竞争对手的bias
[00:25:33 --> 00:25:35]  其实有很多人他会经常看竞队
[00:25:35 --> 00:25:35]  包括我们现在
[00:25:35 --> 00:25:36]  我们现在创业
[00:25:36 --> 00:25:38]  也有很多人经常看竞队
[00:25:38 --> 00:25:39]  看对手怎么写
[00:25:39 --> 00:25:40]  看其他打位怎么写
[00:25:40 --> 00:25:42]  看他们的互动是怎么样的
[00:25:42 --> 00:25:42]  经常看竞队
[00:25:42 --> 00:25:44]  我认为看竞队
[00:25:44 --> 00:25:45]  对于你体量小的时候
[00:25:45 --> 00:25:47]  是绝对有害的
[00:25:47 --> 00:25:48]  它没有意义
[00:25:48 --> 00:25:49]  我告诉你为什么有害
[00:25:49 --> 00:25:50]  就是因为
[00:25:50 --> 00:25:53]  如果你的竞争对手很差
[00:25:53 --> 00:25:54]  那还好
[00:25:54 --> 00:25:54]  就你看竞队
[00:25:54 --> 00:25:55]  你一看就看出来
[00:25:55 --> 00:25:57]  他水平比你差两个
[00:25:57 --> 00:25:57]  数量级
[00:25:57 --> 00:25:59]  你一看就觉得他很差
[00:25:59 --> 00:26:00]  你一看他又不如你
[00:26:00 --> 00:26:02]  这种情况对你来说还好
[00:26:02 --> 00:26:04]  但是这种情况是很少的
[00:26:04 --> 00:26:06]  你很少遇见一个竞队说
[00:26:06 --> 00:26:08]  人家都能跟你一个level竞争了
[00:26:08 --> 00:26:09]  你一眼就能看出他的问题来
[00:26:09 --> 00:26:10]  或者你认为他很差
[00:26:10 --> 00:26:11]  大多数情况下
[00:26:11 --> 00:26:12]  你去分析竞队
[00:26:12 --> 00:26:14]  都是你会发现这个人
[00:26:14 --> 00:26:15]  他想法挺牛逼的
[00:26:15 --> 00:26:16]  对吧
[00:26:16 --> 00:26:17]  我怎么没想到
[00:26:17 --> 00:26:18]  他这个idea是对的
[00:26:18 --> 00:26:20]  国内有很多人是这样子的
[00:26:20 --> 00:26:20]  然后他就会导致
[00:26:20 --> 00:26:21]  会有一个什么症状了
[00:26:21 --> 00:26:22]  这个症状就是
[00:26:22 --> 00:26:24]  他认为任何事情
[00:26:24 --> 00:26:27]  都有唯一正确答案
[00:26:27 --> 00:26:29]  这是我们脑子里的一个框
[00:26:29 --> 00:26:30]  中国人脑子里一个框
[00:26:30 --> 00:26:32]  很难把这个东西给扔了
[00:26:32 --> 00:26:33]  就我们脑子里的一个框
[00:26:33 --> 00:26:35]  是正确答案是唯一的
[00:26:35 --> 00:26:37]  所以大家都互相抄
[00:26:37 --> 00:26:39]  最后抄的似乎像
[00:26:39 --> 00:26:41]  你失去了原本你的
[00:26:41 --> 00:26:42]  这个产品的特色和差异化
[00:26:42 --> 00:26:43]  你这个人的特色
[00:26:43 --> 00:26:44]  你这个服务的特色
[00:26:44 --> 00:26:46]  就是很有可能
[00:26:46 --> 00:26:48]  其实你那条路也对
[00:26:48 --> 00:26:49]  他那条路也对
[00:26:49 --> 00:26:51]  你就按你那条路演进
[00:26:51 --> 00:26:53]  他就按他那条路演进
[00:26:53 --> 00:26:54]  然后你们都能成为一个
[00:26:54 --> 00:26:56]  非常牛逼的特色的产品
[00:26:56 --> 00:26:57]  完全对
[00:26:57 --> 00:26:58]  target到不同的人群
[00:26:58 --> 00:26:59]  大家都很成功
[00:26:59 --> 00:27:01]  但是你经不住用后
[00:27:01 --> 00:27:03]  你看他干什么
[00:27:03 --> 00:27:04]  你就觉得说
[00:27:04 --> 00:27:04]  他那个好
[00:27:04 --> 00:27:05]  这个feature好
[00:27:05 --> 00:27:06]  我搬到我这儿
[00:27:06 --> 00:27:06]  他那个好
[00:27:06 --> 00:27:07]  feature搬到我这儿
[00:27:07 --> 00:27:09]  于是抄了个似不像
[00:27:09 --> 00:27:09]  他也抄你
[00:27:09 --> 00:27:10]  抄了个似不像
[00:27:10 --> 00:27:11]  最后失去了
[00:27:11 --> 00:27:13]  自己的应有的差异化
[00:27:13 --> 00:27:14]  然后这个思想
[00:27:14 --> 00:27:15]  是我导师
[00:27:15 --> 00:27:16]  博后的一个导师
[00:27:16 --> 00:27:18]  deliberately教我的
[00:27:18 --> 00:27:19]  他这个思想
[00:27:19 --> 00:27:19]  贯穿了我一生
[00:27:19 --> 00:27:21]  deliberately教我什么呢
[00:27:21 --> 00:27:22]  就是有一次
[00:27:22 --> 00:27:23]  我们早上起来做实验
[00:27:23 --> 00:27:25]  每天他都晃动到我办公室
[00:27:25 --> 00:27:26]  跟我喝咖啡
[00:27:26 --> 00:27:27]  然后说
[00:27:27 --> 00:27:27]  说两句话
[00:27:27 --> 00:27:28]  他在走
[00:27:28 --> 00:27:29]  这就是他早上起来
[00:27:29 --> 00:27:29]  早会
[00:27:29 --> 00:27:31]  他会每个博后
[00:27:31 --> 00:27:32]  去晃动到他们办公室
[00:27:32 --> 00:27:33]  聊两句
[00:27:33 --> 00:27:34]  然后晃动到我这儿
[00:27:34 --> 00:27:34]  聊完了
[00:27:34 --> 00:27:35]  他就晃动到
[00:27:35 --> 00:27:36]  下一个博后那
[00:27:36 --> 00:27:37]  有一天早上
[00:27:37 --> 00:27:38]  我们俩闲聊
[00:27:38 --> 00:27:39]  没聊到resource
[00:27:39 --> 00:27:39]  他就说
[00:27:39 --> 00:27:40]  盈你觉得
[00:27:40 --> 00:27:42]  你最大的优点是什么
[00:27:42 --> 00:27:42]  我说是什么
[00:27:42 --> 00:27:43]  他说bold
[00:27:43 --> 00:27:45]  就是说我很勇敢
[00:27:45 --> 00:27:45]  bold
[00:27:45 --> 00:27:46]  我说那我缺点是什么
[00:27:46 --> 00:27:47]  他说你有的时候
[00:27:47 --> 00:27:49]  没有其他人谨慎
[00:27:49 --> 00:27:50]  然后我就问他
[00:27:50 --> 00:27:52]  那我应该学习更谨慎吗
[00:27:52 --> 00:27:54]  他说你不应该
[00:27:54 --> 00:27:54]  学习更谨慎
[00:27:54 --> 00:27:57]  他说因为一个谨慎的人
[00:27:57 --> 00:27:58]  特谨慎的人
[00:27:58 --> 00:27:59]  谨慎到极致的人
[00:27:59 --> 00:28:01]  是不可能bold
[00:28:01 --> 00:28:03]  他不可能再勇敢了
[00:28:03 --> 00:28:04]  你会失去bold这个东西
[00:28:04 --> 00:28:06]  所以我导师给我了
[00:28:06 --> 00:28:08]  这么一个非常好的一个提醒
[00:28:08 --> 00:28:10]  就是我们从小追求的
[00:28:10 --> 00:28:11]  都是平衡
[00:28:11 --> 00:28:13]  而真正成功的人
[00:28:13 --> 00:28:14]  都是追求极致
[00:28:14 --> 00:28:16]  平衡本身就是极致的反面
[00:28:16 --> 00:28:18]  而喜欢看镜对的人
[00:28:18 --> 00:28:20]  看别人在干什么的人
[00:28:20 --> 00:28:21]  他老想追求平衡
[00:28:21 --> 00:28:23]  他有可能别人做的是挺好的
[00:28:23 --> 00:28:24]  然后他一看别人做的
[00:28:24 --> 00:28:25]  挺好的
[00:28:25 --> 00:28:26]  马上认为这个东西
[00:28:26 --> 00:28:27]  我要平衡一下
[00:28:27 --> 00:28:29]  把我自己没有的feature
[00:28:29 --> 00:28:30]  给你往上改
[00:28:30 --> 00:28:31]  禁不住这个诱惑
[00:28:31 --> 00:28:33]  于是就没有做到极致
[00:28:33 --> 00:28:34]  同样我还看
[00:28:34 --> 00:28:36]  Nissan Taleb那本
[00:28:36 --> 00:28:36]  黑天鹅的书
[00:28:36 --> 00:28:38]  那本书我特别喜欢看
[00:28:38 --> 00:28:38]  他就说
[00:28:38 --> 00:28:40]  这个世界是被
[00:28:40 --> 00:28:41]  outlier所shaped
[00:28:41 --> 00:28:43]  其实平均的人怎么想
[00:28:43 --> 00:28:44]  平均的人怎么干
[00:28:44 --> 00:28:45]  是不影响世界历史的
[00:28:45 --> 00:28:46]  我们看这个世界
[00:28:46 --> 00:28:48]  你跟我用的这个手机
[00:28:48 --> 00:28:49]  用的麦克风
[00:28:49 --> 00:28:50]  用的屏幕
[00:28:50 --> 00:28:51]  用的所有的东西
[00:28:51 --> 00:28:52]  都是非常
[00:28:52 --> 00:28:54]  outlier的人想出来的
[00:28:54 --> 00:28:54]  所以
[00:28:54 --> 00:28:56]  我还占了一个优势
[00:28:56 --> 00:28:57]  就是我不去看
[00:28:57 --> 00:28:58]  其他大伟想什么
[00:28:58 --> 00:28:58]  不去看
[00:28:58 --> 00:29:00]  我就是我自己看了书
[00:29:00 --> 00:29:01]  我自己做博后
[00:29:01 --> 00:29:02]  有什么新的我就写
[00:29:02 --> 00:29:04]  我想法跟所有人都不一样
[00:29:04 --> 00:29:04]  也没关系
[00:29:04 --> 00:29:05]  我不去看他警队
[00:29:05 --> 00:29:06]  他们写的好事
[00:29:06 --> 00:29:07]  他们的事没关系
[00:29:07 --> 00:29:08]  我不care
[00:29:08 --> 00:29:09]  我就坚持自己的
[00:29:09 --> 00:29:10]  originality
[00:29:10 --> 00:29:10]  对吧
[00:29:10 --> 00:29:11]  在这个方面
[00:29:11 --> 00:29:12]  坚持自己的originality
[00:29:12 --> 00:29:14]  不要失去自己的特色
[00:29:14 --> 00:29:15]  不管网友认为
[00:29:15 --> 00:29:16]  我这个人错色是什么
[00:29:16 --> 00:29:17]  有时候他们说
[00:29:17 --> 00:29:18]  我骂人太犀利了
[00:29:18 --> 00:29:19]  有人说我特色
[00:29:19 --> 00:29:19]  是特别商简
[00:29:19 --> 00:29:21]  我写的句子不复杂
[00:29:21 --> 00:29:23]  有些知识分子
[00:29:23 --> 00:29:23]  写句子很复杂
[00:29:23 --> 00:29:25]  我说话还特别老百姓
[00:29:25 --> 00:29:26]  但是呢
[00:29:26 --> 00:29:27]  不代表我思想很庸俗
[00:29:27 --> 00:29:28]  所以他们就喜欢看
[00:29:28 --> 00:29:29]  我不管他们给我贴的标签
[00:29:29 --> 00:29:30]  是什么样的
[00:29:30 --> 00:29:31]  也有人说我自恋
[00:29:31 --> 00:29:32]  我觉得还挺高兴的
[00:29:32 --> 00:29:33]  但是我觉得就是
[00:29:33 --> 00:29:34]  我的original
[00:29:34 --> 00:29:36]  所以我觉得这个东西
[00:29:36 --> 00:29:37]  帮助我去build up
[00:29:37 --> 00:29:38]  我是一个不可替代的人
[00:29:38 --> 00:29:40]  因为一般来说
[00:29:40 --> 00:29:42]  你的网红是有很大的周期的
[00:29:42 --> 00:29:43]  网红周期一般是七年
[00:29:43 --> 00:29:44]  我研究过
[00:29:44 --> 00:29:45]  衰减周期七年
[00:29:45 --> 00:29:46]  你要是没有自己的originality
[00:29:46 --> 00:29:47]  你只是一个
[00:29:47 --> 00:29:48]  垂直领域的博主
[00:29:48 --> 00:29:49]  比如你健身博主
[00:29:49 --> 00:29:51]  或者是你是美妆博主
[00:29:51 --> 00:29:52]  一般来说红七年
[00:29:52 --> 00:29:53]  就会衰减
[00:29:53 --> 00:29:55]  我觉得我扛过了
[00:29:55 --> 00:29:56]  这16年
[00:29:56 --> 00:29:57]  扛过16年
[00:29:57 --> 00:29:58]  10年开始写微博
[00:29:58 --> 00:29:59]  在之前我还写过博客
[00:29:59 --> 00:30:00]  扛过了20年
[00:30:00 --> 00:30:02]  都是靠不去看竞争对手
[00:30:02 --> 00:30:04]  也不把自己进行分类
[00:30:04 --> 00:30:06]  因为你一旦给自己分了类
[00:30:06 --> 00:30:06]  你给自己打了个标签
[00:30:06 --> 00:30:08]  我是一个微胖的穿搭博主
[00:30:08 --> 00:30:10]  我是一个母婴博主
[00:30:10 --> 00:30:11]  那个推荐算法
[00:30:11 --> 00:30:12]  就会把你
[00:30:12 --> 00:30:13]  跟你类似的人
[00:30:13 --> 00:30:14]  推荐到你的收入面前
[00:30:14 --> 00:30:15]  就把你的竞争对手
[00:30:15 --> 00:30:17]  推荐给你的用户
[00:30:17 --> 00:30:18]  那我的originality
[00:30:18 --> 00:30:19]  我自己说
[00:30:19 --> 00:30:20]  我不定义我自己
[00:30:20 --> 00:30:21]  什么样的人
[00:30:21 --> 00:30:22]  我也不看其他竞争对手
[00:30:22 --> 00:30:23]  就导致推荐算法
[00:30:23 --> 00:30:24]  很难推我的竞争对手
[00:30:24 --> 00:30:25]  他也不知道
[00:30:25 --> 00:30:26]  我竞争对手是谁
[00:30:26 --> 00:30:27]  所以这些东西
[00:30:27 --> 00:30:29]  都是帮助你抵抗衰减
[00:30:29 --> 00:30:30]  这个是很重要的
[00:30:30 --> 00:30:31]  就是不要看别人想什么
[00:30:31 --> 00:30:33]  然后坚持七年
[00:30:33 --> 00:30:34]  非常感谢
[00:30:34 --> 00:30:35]  这段给了我莫大的慰藉
[00:30:35 --> 00:30:36]  上次咱们聊的时候
[00:30:36 --> 00:30:37]  你有聊到过
[00:30:37 --> 00:30:38]  不给自己打标签这件事
[00:30:38 --> 00:30:41]  我其实对这件事特别困扰
[00:30:41 --> 00:30:42]  所有人都跟我说
[00:30:42 --> 00:30:43]  你要做一个垂内博主
[00:30:43 --> 00:30:44]  或者别人问我
[00:30:44 --> 00:30:45]  说你的频道是关于什么
[00:30:45 --> 00:30:46]  我觉得我是在讲哲学
[00:30:46 --> 00:30:48]  但是说出去就很臭屁
[00:30:50 --> 00:30:51]  我是一个AI的博主
[00:30:51 --> 00:30:52]  我觉得AI是一个工具
[00:30:52 --> 00:30:53]  或者说是一个means
[00:30:53 --> 00:30:54]  不是这个end
[00:30:54 --> 00:30:55]  然后我其实就觉得
[00:30:55 --> 00:30:57]  是不是自己太傻了
[00:30:57 --> 00:30:57]  这样做
[00:30:57 --> 00:30:58]  然后上次你说了以后
[00:30:58 --> 00:30:59]  我就觉得
[00:30:59 --> 00:31:01]  好像似乎起码得到了你的认可
[00:31:01 --> 00:31:03]  或者说你也是这么想的
[00:31:03 --> 00:31:04]  然后这次又有一个
[00:31:04 --> 00:31:05]  更深的一个解读
[00:31:05 --> 00:31:06]  这个我觉得特别的棒
[00:31:06 --> 00:31:08]  确实感觉就是起航很慢
[00:31:08 --> 00:31:08]  我没有觉得
[00:31:08 --> 00:31:10]  我到了指数的那个点
[00:31:10 --> 00:31:11]  就是每个周我发两期视频
[00:31:11 --> 00:31:12]  然后发一期视频
[00:31:12 --> 00:31:13]  可能涨个70分
[00:31:13 --> 00:31:15]  我记得平均还是多少的
[00:31:15 --> 00:31:16]  反正就是不是很多
[00:31:16 --> 00:31:17]  确实很慢
[00:31:17 --> 00:31:18]  但是我觉得是一个
[00:31:18 --> 00:31:20]  我似乎前一世里
[00:31:20 --> 00:31:21]  或者直接里面觉得
[00:31:21 --> 00:31:22]  它是一个对的做法
[00:31:22 --> 00:31:23]  我觉得今天讲得非常清楚
[00:31:23 --> 00:31:25]  它为什么是一个对的做法
[00:31:25 --> 00:31:26]  这是我的社区的名字
[00:31:26 --> 00:31:27]  我社区名字叫
[00:31:27 --> 00:31:28]  Super Linear Academy
[00:31:28 --> 00:31:29]  超线性学院
[00:31:29 --> 00:31:31]  是我当时出的一个T恤
[00:31:31 --> 00:31:33]  对 你长粉就是这个曲线
[00:31:33 --> 00:31:35]  头几年都是趴着的
[00:31:35 --> 00:31:37]  我觉得我把
[00:31:37 --> 00:31:39]  复利这件事情想得非常清楚
[00:31:39 --> 00:31:40]  就compound这件事
[00:31:40 --> 00:31:40]  想得很清楚
[00:31:40 --> 00:31:41]  但是有一个
[00:31:41 --> 00:31:43]  我之前没有想清楚的点
[00:31:43 --> 00:31:44]  就是这个threshold
[00:31:44 --> 00:31:45]  这个threshold
[00:31:45 --> 00:31:46]  到底是为什么会发生
[00:31:46 --> 00:31:47]  我想就是问你
[00:31:47 --> 00:31:50]  讲一下你的拐点
[00:31:50 --> 00:31:51]  你觉得那个拐点
[00:31:51 --> 00:31:52]  到底为什么会发生
[00:31:52 --> 00:31:54]  这个东西它到底是个什么东西呢
[00:31:54 --> 00:31:55]  就为什么在那个拐点之后
[00:31:55 --> 00:31:56]  似乎你都进入了一个
[00:31:56 --> 00:31:58]  高速增长的轨道
[00:31:58 --> 00:32:00]  你知道维特根斯坦说过一句话
[00:32:00 --> 00:32:01]  叫做因果关系
[00:32:01 --> 00:32:02]  是人类最大的谎言
[00:32:02 --> 00:32:05]  不值得幻觉
[00:32:05 --> 00:32:07]  就是因果这件事
[00:32:07 --> 00:32:10]  是你脑子理解世界的模型
[00:32:10 --> 00:32:12]  任何一个事有原因有结果
[00:32:12 --> 00:32:14]  大家知道吧
[00:32:14 --> 00:32:15]  他说是人类最大的幻觉
[00:32:15 --> 00:32:16]  好像是
[00:32:16 --> 00:32:17]  是你大脑一个模型
[00:32:17 --> 00:32:18]  你有很多事情
[00:32:18 --> 00:32:20]  它有点像存续
[00:32:20 --> 00:32:21]  凑牌
[00:32:21 --> 00:32:23]  或者说有点像化学的合成似的
[00:32:23 --> 00:32:25]  你比如说我要锁上一个很复杂的东西
[00:32:25 --> 00:32:27]  可能我要十几个东西凑在一起
[00:32:27 --> 00:32:28]  对吧
[00:32:28 --> 00:32:29]  然后有十几个ingredient
[00:32:29 --> 00:32:31]  而且这十几个东西
[00:32:31 --> 00:32:32]  每一个都要到threshold
[00:32:32 --> 00:32:36]  很有可能你没法给它解释成单因果
[00:32:36 --> 00:32:38]  有很多历史学家
[00:32:38 --> 00:32:39]  也会有这样的疑惑
[00:32:39 --> 00:32:42]  就说为什么当时谁谁
[00:32:42 --> 00:32:43]  征服了哪哪哪
[00:32:43 --> 00:32:44]  为什么这场战争胜利了
[00:32:44 --> 00:32:45]  那场战争没胜利
[00:32:45 --> 00:32:47]  我觉得它会有很多很多的因素
[00:32:47 --> 00:32:48]  排在一起
[00:32:48 --> 00:32:50]  因为我也是一个知识分子
[00:32:50 --> 00:32:50]  但是我也是一个知识分子
[00:32:50 --> 00:32:52]  当我下场去做生意的时候
[00:32:52 --> 00:32:53]  我有一个很深刻的感觉
[00:32:53 --> 00:32:55]  这个感觉是这样子的
[00:32:55 --> 00:32:57]  你从书上去读
[00:32:57 --> 00:32:59]  说做实业特别难
[00:32:59 --> 00:33:01]  和你现场去发现
[00:33:01 --> 00:33:02]  有人从你仓库里偷东西
[00:33:02 --> 00:33:03]  你要跟他打架
[00:33:03 --> 00:33:05]  这个体感
[00:33:05 --> 00:33:06]  和你书上读
[00:33:06 --> 00:33:07]  任何号起来
[00:33:07 --> 00:33:09]  它都是非线性过程
[00:33:09 --> 00:33:10]  它都是一个这个
[00:33:10 --> 00:33:10]  对吧
[00:33:10 --> 00:33:13]  和你自己昼夜去战
[00:33:13 --> 00:33:15]  发了这么多视频
[00:33:15 --> 00:33:15]  还不红
[00:33:15 --> 00:33:17]  那个两种感觉
[00:33:17 --> 00:33:20]  有些人只限于纸上谈兵
[00:33:20 --> 00:33:20]  和纸上谈兵
[00:33:20 --> 00:33:21]  就是军旗推演
[00:33:21 --> 00:33:22]  就是在那个沙盘推演
[00:33:22 --> 00:33:24]  而有些人下了战场
[00:33:24 --> 00:33:25]  就变成了土匪
[00:33:25 --> 00:33:26]  什么叫土匪
[00:33:26 --> 00:33:28]  就是忘了所有的原理
[00:33:28 --> 00:33:29]  就哐哐喊人
[00:33:29 --> 00:33:31]  我跟我所有的员工都说
[00:33:31 --> 00:33:32]  年轻人都说
[00:33:32 --> 00:33:33]  唯有一种人
[00:33:33 --> 00:33:35]  能成为真正的将军
[00:33:35 --> 00:33:38]  那就是杀得血肉模糊
[00:33:38 --> 00:33:39]  泥泞的时候
[00:33:39 --> 00:33:41]  你面对的每天的困难
[00:33:41 --> 00:33:42]  你杀得血肉模糊
[00:33:42 --> 00:33:44]  一大堆人给你搞来搞去的时候
[00:33:44 --> 00:33:46]  你还能记住兵书上的话
[00:33:46 --> 00:33:49]  这种人才是将军
[00:33:49 --> 00:33:50]  既不是纸上谈兵的人
[00:33:50 --> 00:33:51]  也不是土匪
[00:33:51 --> 00:33:51]  所以我觉得
[00:33:51 --> 00:33:54]  我说你们必须理论和实际结合
[00:33:54 --> 00:33:55]  什么叫理论和实际结合
[00:33:55 --> 00:33:56]  说得高高在上
[00:33:56 --> 00:33:57]  实际上来说就是
[00:33:57 --> 00:33:58]  杀红眼
