# 原始转录（whisper.cpp 本地转写，未润色）
# 节目：屠龙之术（庄明浩单口）
# 单集：智能的下一幕，让人兴奋——73 页 PPT solo
# 平台：小宇宙 · 发布日期：2026-09-15 · 时长：55m21s（3320s）
# Pipeline：whisper.cpp / ggml-large-v3 / Metal / -l zh（scripts/transcribe.py）
# 段数：2009 · 汉字数：12452 · 语速约 225 字/min · 转写日期：2026-09-22（文件时间）
# 注意：中文无自动标点；人名/英文术语/数字有误识别（如 DeepSick→DeepSeek、SOPIC→Anthropic、欧贝青→欧倍青、BAT→bet，修正见同名 polished 稿）
# 版权：节目版权归主理人/制作方所有，仅供个人学习（见 ../../COPYRIGHT.md）

[00:15:20 -> 00:15:22] 最最最直观的
[00:15:22 -> 00:15:23] 奇观
[00:15:23 -> 00:15:25] 这个又让我想起了
[00:15:25 -> 00:15:26] 前一段时间
[00:15:26 -> 00:15:27] DeepSick的梁文峰的
[00:15:27 -> 00:15:28] 那个语录里面
[00:15:28 -> 00:15:28] 提到的一句话
[00:15:28 -> 00:15:30] 他说
[00:15:30 -> 00:15:31] 当前最重要的是
[00:15:31 -> 00:15:32] 把AI训练做好
[00:15:32 -> 00:15:34] 把AI训练做好
[00:15:34 -> 00:15:36] 并不需要世界模型
[00:15:36 -> 00:15:38] 甚至不用
[00:15:38 -> 00:15:40] 多模态
[00:15:40 -> 00:15:41] 良胜
[00:15:41 -> 00:15:42] 成不起我
[00:15:42 -> 00:15:47] 那对于当前的
[00:15:47 -> 00:15:48] 模型厂商而言
[00:15:48 -> 00:15:48] 当模型厂商
[00:15:48 -> 00:15:49] 模型的制造
[00:15:49 -> 00:15:50] 跟训练变成
[00:15:50 -> 00:15:51] 所谓的制造业之后
[00:15:51 -> 00:15:53] 如何获取
[00:15:53 -> 00:15:56] benchmark之外的
[00:15:56 -> 00:15:57] 奇观的关注呢
[00:15:57 -> 00:15:59] 这又对应了
[00:15:59 -> 00:16:00] 这一轮Transformer
[00:16:00 -> 00:16:01] 最重要的核心
[00:16:01 -> 00:16:02] 那篇论文的标题
[00:16:02 -> 00:16:05] Attention is all you need
[00:16:05 -> 00:16:06] 举两个例子
[00:16:06 -> 00:16:07] 分别来自两家
[00:16:07 -> 00:16:08] 中国上市的大品公司
[00:16:08 -> 00:16:09] 先是智普
[00:16:09 -> 00:16:10] 最近发的
[00:16:10 -> 00:16:11] 5.3 Flash
[00:16:11 -> 00:16:13] 就是那个牛来的模型
[00:16:13 -> 00:16:15] 先在推特上
[00:16:15 -> 00:16:16] 引起了巨大的传播
[00:16:16 -> 00:16:17] 匿名
[00:16:17 -> 00:16:18] 登榜
[00:16:18 -> 00:16:19] 然后得到非常多的
[00:16:19 -> 00:16:20] 关注能力非常强
[00:16:20 -> 00:16:21] 然后价格非常便宜
[00:16:21 -> 00:16:23] 然后得到了
[00:16:23 -> 00:16:24] 更多的传播
[00:16:24 -> 00:16:25] 用户的关注
[00:16:25 -> 00:16:27] 公布自己是牛来
[00:16:27 -> 00:16:28] 就是所谓的
[00:16:28 -> 00:16:29] 5.3 Flash之后
[00:16:29 -> 00:16:30] 他们在
[00:16:30 -> 00:16:32] 正式公布的推文里面
[00:16:32 -> 00:16:34] 他们官方自己
[00:16:34 -> 00:16:34] 画了那个
[00:16:34 -> 00:16:36] 非常有名的斩杀线
[00:16:36 -> 00:16:37] 就是他的模型能力
[00:16:37 -> 00:16:38] 跟价格的那个斩杀线
[00:16:38 -> 00:16:41] 用这样的方式
[00:16:41 -> 00:16:43] 让5.3 Flash
[00:16:43 -> 00:16:45] 得到了更多的关注
[00:16:45 -> 00:16:46] Attention is all you need
[00:16:46 -> 00:16:48] 下一个案例
[00:16:48 -> 00:16:48] MiniMax
[00:16:48 -> 00:16:51] MiniMax在1-3发布之后
[00:16:51 -> 00:16:51] 美国的一家
[00:16:51 -> 00:16:52] 做会训员的公司
[00:16:52 -> 00:16:53] FAL
[00:16:53 -> 00:16:54] 做了一个事情
[00:16:54 -> 00:16:55] 这个事情是什么呢
[00:16:55 -> 00:16:56] 他们
[00:16:56 -> 00:16:57] 通过他们的后训练
[00:16:57 -> 00:16:58] 基于H3
[00:16:58 -> 00:16:59] 在Twitch上开了个直播间
[00:16:59 -> 00:17:02] 这个直播间的内容
[00:17:02 -> 00:17:04] 是24小时不间断的
[00:17:04 -> 00:17:05] 更重要的是
[00:17:05 -> 00:17:07] 因为H3的能力
[00:17:07 -> 00:17:08] 加后训练的
[00:17:08 -> 00:17:10] 这个他们的调教
[00:17:10 -> 00:17:11] 双引号的调教
[00:17:11 -> 00:17:13] 造成的结果是
[00:17:13 -> 00:17:14] 当用户在这个直播间的弹幕
[00:17:14 -> 00:17:15] 发出一个对
[00:17:15 -> 00:17:18] 视频模型要求的修改内容之后
[00:17:18 -> 00:17:21] 模型生成的速度
[00:17:21 -> 00:17:24] 超过了观看的速度
[00:17:24 -> 00:17:26] 我再说一遍
[00:17:26 -> 00:17:28] 模型生成的速度
[00:17:28 -> 00:17:30] 超过了观看的速度
[00:17:30 -> 00:17:31] 也就是说
[00:17:31 -> 00:17:32] 它生成一段
[00:17:32 -> 00:17:34] 一分钟的视频
[00:17:34 -> 00:17:35] 是不需要一分钟的
[00:17:35 -> 00:17:37] 这就造成一个什么结果
[00:17:37 -> 00:17:38] 那个直播间就变成了
[00:17:38 -> 00:17:40] 双引号的无线流
[00:17:40 -> 00:17:40] 就这个视频
[00:17:40 -> 00:17:42] 可以无线滚下去
[00:17:42 -> 00:17:47] 当传说中的无线流出现了
[00:17:47 -> 00:17:48] 大家会惊呼
[00:17:48 -> 00:17:49] 视频模型
[00:17:49 -> 00:17:50] 似乎到了一个节点
[00:17:50 -> 00:17:51] 因为这样的传播
[00:17:51 -> 00:17:52] Emax H3
[00:17:52 -> 00:17:53] 得到了巨大的关注
[00:17:53 -> 00:17:55] Attention is all you need
[00:17:55 -> 00:17:56] 这个事情再延展
[00:17:56 -> 00:17:58] 提到无线流
[00:17:58 -> 00:17:59] 如果观众行业的话
[00:17:59 -> 00:18:00] 你应该会想到
[00:18:00 -> 00:18:02] 今年的上半年
[00:18:02 -> 00:18:03] 有几家做所谓的
[00:18:03 -> 00:18:04] 视频模型的公司
[00:18:04 -> 00:18:06] 号称他们
[00:18:06 -> 00:18:07] 在做世界模型
[00:18:07 -> 00:18:09] 他们所的主张
[00:18:09 -> 00:18:12] 就是无线流
[00:18:12 -> 00:18:16] 这个问题再延展
[00:18:16 -> 00:18:18] 老生长团的
[00:18:18 -> 00:18:20] 中国跟美国的模型对抗
[00:18:20 -> 00:18:23] 似乎我们的
[00:18:23 -> 00:18:25] 头部的模型厂商
[00:18:25 -> 00:18:27] 跟美国最头部模型厂商
[00:18:27 -> 00:18:28] 之间的差距
[00:18:28 -> 00:18:29] 不是特别大
[00:18:29 -> 00:18:31] 有些观点会认为
[00:18:31 -> 00:18:31] 已经缩小到
[00:18:31 -> 00:18:32] 比如说三到六个月
[00:18:32 -> 00:18:34] 有些观点可能会认为
[00:18:34 -> 00:18:35] 还在六个月
[00:18:35 -> 00:18:36] 九个月之间
[00:18:36 -> 00:18:37] 反正这个距离
[00:18:37 -> 00:18:38] 不是特别大
[00:18:38 -> 00:18:39] 并且又因为
[00:18:39 -> 00:18:41] 我们的模型的
[00:18:41 -> 00:18:42] 性价比的能力的提升
[00:18:42 -> 00:18:43] 引发了后面所有的问题
[00:18:43 -> 00:18:44] 所以这个问题
[00:18:44 -> 00:18:45] 自然而然引入到了
[00:18:45 -> 00:18:47] 另外一个对比的角度
[00:18:47 -> 00:18:48] 就是开源跟避源的竞争
[00:18:48 -> 00:18:50] 美国最头部的
[00:18:50 -> 00:18:51] 三家模型厂商
[00:18:51 -> 00:18:53] OpenAI, SOPIC, Google
[00:18:53 -> 00:18:55] 依然延续着避源的策略
[00:18:55 -> 00:18:57] 美国当然也出现了一些
[00:18:57 -> 00:18:59] 做开源模型的厂商
[00:18:59 -> 00:19:00] 但似乎开源的生态
[00:19:00 -> 00:19:02] 更多是由中国厂商贡献的
[00:19:02 -> 00:19:05] Kimi,支普,千文
[00:19:05 -> 00:19:06] 对吧
[00:19:06 -> 00:19:09] 开源跟避源的竞争
[00:19:09 -> 00:19:10] 再下一张图
[00:19:10 -> 00:19:11] 也是我之前
[00:19:11 -> 00:19:12] AI by the number
[00:19:12 -> 00:19:13] 提到的那张非常重要的图
[00:19:13 -> 00:19:14] 就是从云端
[00:19:14 -> 00:19:16] 跟本地模型的对比
[00:19:16 -> 00:19:18] 这张图比较的就是
[00:19:18 -> 00:19:20] 当一个最新的
[00:19:20 -> 00:19:21] 骚扰模型出现之后
[00:19:21 -> 00:19:22] 我们看需要多久
[00:19:22 -> 00:19:23] 可以出现一个
[00:19:23 -> 00:19:24] 可以在本地部署的
[00:19:24 -> 00:19:26] 参数量比较小的模型的能力
[00:19:26 -> 00:19:28] 达到当前这个时间点的
[00:19:28 -> 00:19:30] 头部的骚扰模型的能力
[00:19:30 -> 00:19:32] 在DP3那个年代
[00:19:32 -> 00:19:33] 这件事情需要33个月
[00:19:33 -> 00:19:35] 快三年
[00:19:35 -> 00:19:37] 等到了最近
[00:19:37 -> 00:19:39] 千文3.8的27B
[00:19:39 -> 00:19:40] 那个非常非常强的
[00:19:40 -> 00:19:41] 可以本地部署的模型的能力
[00:19:41 -> 00:19:43] 已经到了OPUS 4.5的能力
[00:19:43 -> 00:19:44] 也就是OPUS 4.5
[00:19:44 -> 00:19:45] 发布之后的九个月
[00:19:45 -> 00:19:47] 就有一个可以部署
[00:19:47 -> 00:19:48] 在本地的小模型
[00:19:48 -> 00:19:50] 达到了OPUS 4.5的能力
[00:19:50 -> 00:19:51] 那大家再想
[00:19:51 -> 00:19:53] 今天我们世界上最优秀的
[00:19:53 -> 00:19:55] 跟最强的模型是GPT-6
[00:19:55 -> 00:19:59] 那似乎不需要等太久
[00:19:59 -> 00:20:01] 就可能有一个30B左右的
[00:20:01 -> 00:20:02] 小参数量的
[00:20:02 -> 00:20:04] 可以本地部署的模型
[00:20:04 -> 00:20:07] 达到GPT-6的能力
[00:20:07 -> 00:20:10] 那这个事情和延展的空间
[00:20:10 -> 00:20:12] 似乎就会被无限放大
[00:20:12 -> 00:20:13] 甚至可能我们都不需要
[00:20:13 -> 00:20:14] 等到GPT-6
[00:20:14 -> 00:20:18] 现在的千文3.8的27B的模型
[00:20:18 -> 00:20:22] 就可以干很多的事情了
[00:20:22 -> 00:20:23] 所有的议题到这儿
[00:20:23 -> 00:20:25] 自然而然引发的问题
[00:20:25 -> 00:20:26] 中美对抗的问题
[00:20:26 -> 00:20:28] 开模型变模型的问题
[00:20:28 -> 00:20:31] 本地模型云端模型的问题
[00:20:31 -> 00:20:33] 你会发现
[00:20:33 -> 00:20:36] 纯大模型这件事情出现了分化
[00:20:36 -> 00:20:38] 所以我们进入第二章
[00:20:38 -> 00:20:39] 智能分化
[00:20:39 -> 00:20:42] 两条新闻
[00:20:42 -> 00:20:43] 前面提到了两家公司
[00:20:43 -> 00:20:45] 8月19号
[00:20:45 -> 00:20:48] Strip 70亿美金收购OpenRouter
[00:20:48 -> 00:20:50] 9月3号
[00:20:50 -> 00:20:55] 英伟达129亿美金收购Hugging Face
[00:20:55 -> 00:20:59] Hugging Face OpenRouter
[00:20:59 -> 00:21:00] 这两家被定义成
[00:21:00 -> 00:21:01] 这一轮AI爆发过程中
[00:21:01 -> 00:21:02] 最最最核心的
[00:21:02 -> 00:21:03] 所谓中间层面
[00:21:03 -> 00:21:06] 代表公司在差不多的时间点
[00:21:06 -> 00:21:08] 都以超级高的价格
[00:21:08 -> 00:21:10] 被AI行业的基础设施
[00:21:10 -> 00:21:13] 广义的基础设施公司收掉
[00:21:13 -> 00:21:15] 我觉得大的并购
[00:21:15 -> 00:21:17] 往往会代表着
[00:21:17 -> 00:21:18] 行业的重要的节点出现
[00:21:18 -> 00:21:20] 扣这张的标题
[00:21:20 -> 00:21:21] 智能分化
[00:21:21 -> 00:21:24] 再一张图
[00:21:24 -> 00:21:25] 是RAMP统计的
[00:21:25 -> 00:21:28] 集中时报重新绘制一张图
[00:21:28 -> 00:21:29] 我在上次AI Band Number也用过
[00:21:29 -> 00:21:33] 就是Cloud系列所有模型的
[00:21:33 -> 00:21:34] 企业端的付费占比
[00:21:34 -> 00:21:36] 你会发现
[00:21:36 -> 00:21:39] 之前发布的Fable 5模型发布之后
[00:21:40 -> 00:21:44] 并没有得到所有超级多人的认可
[00:21:44 -> 00:21:46] 它增长到可能百分之十几之后
[00:21:46 -> 00:21:47] 就不能涨
[00:21:47 -> 00:21:50] 大部分人依然在延续用Opus 4.8
[00:21:50 -> 00:21:53] 在过去几年
[00:21:53 -> 00:21:56] 似乎在应用跟2B场景里
[00:21:56 -> 00:21:57] 大家有一个默认的前提
[00:21:57 -> 00:21:58] 就是所有最新的
[00:21:58 -> 00:22:00] 跟最强的模型出来
[00:22:00 -> 00:22:01] 我就是要用最新跟最强
[00:22:01 -> 00:22:02] 甚至最贵的模型
[00:22:02 -> 00:22:04] 但在今天
[00:22:04 -> 00:22:07] 这个前提本身
[00:22:07 -> 00:22:08] 也就是说所有人都要用
[00:22:08 -> 00:22:11] 最新跟最强的模型的前提
[00:22:11 -> 00:22:12] 出现了松动
[00:22:12 -> 00:22:14] 造成的结果是说
[00:22:14 -> 00:22:15] 确实Fable 5出来的时候
[00:22:15 -> 00:22:17] 强的可怕
[00:22:17 -> 00:22:20] 这么强的技术领先
[00:22:20 -> 00:22:25] 但没有给Aesopic带来超额利润
[00:22:25 -> 00:22:27] 也就是说所谓的
[00:22:27 -> 00:22:30] 骚打模型的保质期
[00:22:30 -> 00:22:31] 急剧的变动
[00:22:31 -> 00:22:34] 更更麻烦的是什么
[00:22:34 -> 00:22:36] 同样是来自RAMP的统计
[00:22:36 -> 00:22:38] 它在刚刚发布的
[00:22:38 -> 00:22:39] 8月的AI Index
[00:22:39 -> 00:22:40] 就是AI指数的
[00:22:40 -> 00:22:41] 它统计的是
[00:22:41 -> 00:22:43] 它所覆盖的美国几万家公司
[00:22:43 -> 00:22:44] 在AI上的花费
[00:22:44 -> 00:22:46] Top 1
[00:22:46 -> 00:22:49] 也就是花费最多的公司
[00:22:49 -> 00:22:51] 平均每一个员工
[00:22:51 -> 00:22:52] 在AI上的花费
[00:22:52 -> 00:22:53] 月度的额度
[00:22:53 -> 00:22:54] 达到了8000美金
[00:22:54 -> 00:22:55] 我讲过
[00:22:55 -> 00:22:56] 这个数字大概是
[00:22:56 -> 00:22:58] 美国软件公司工资的一半
[00:22:58 -> 00:23:01] 这个数字在7月份达到顶点
[00:23:01 -> 00:23:01] 8000美金
[00:23:01 -> 00:23:03] 可是在8月份
[00:23:03 -> 00:23:05] 这个数字往下掉了一点点
[00:23:05 -> 00:23:08] 为什么
[00:23:08 -> 00:23:10] 不是才到软件公司一半吗
[00:23:10 -> 00:23:11] 怎么就往下掉了
[00:23:11 -> 00:23:14] 虽然它统计的Top 10
[00:23:14 -> 00:23:15] 跟平均数的
[00:23:15 -> 00:23:17] 中位数的企业的
[00:23:17 -> 00:23:17] AI的支出
[00:23:17 -> 00:23:18] 还是在往上涨
[00:23:18 -> 00:23:20] 但是最最最核心
[00:23:20 -> 00:23:21] 也就是说原来
[00:23:21 -> 00:23:23] 用AI Token最狠的那些企业
[00:23:23 -> 00:23:25] 在8月平均
[00:23:25 -> 00:23:27] 那个数字往下掉
[00:23:27 -> 00:23:28] 当然
[00:23:28 -> 00:23:30] 这里面可能有一些季节
[00:23:30 -> 00:23:31] 或者是
[00:23:31 -> 00:23:33] 单月的异常数据的变化
[00:23:33 -> 00:23:34] 但似乎
[00:23:34 -> 00:23:35] 我们会
[00:23:35 -> 00:23:37] 可以推断一个比较
[00:23:37 -> 00:23:38] 怎么讲
[00:23:38 -> 00:23:39] 比较主观的结论是说
[00:23:39 -> 00:23:42] 哪怕是那些最基因的厂商
[00:23:42 -> 00:23:42] 都意识到了
[00:23:42 -> 00:23:45] 这个成本需要调一调
[00:23:45 -> 00:23:46] 那个前提松动
[00:23:46 -> 00:23:51] 这里面最最最核心的原因
[00:23:51 -> 00:23:52] 当然是价格
[00:23:52 -> 00:23:52] 对吧
[00:23:52 -> 00:23:53] 过去这么多年
[00:23:53 -> 00:23:54] 我们已经看到过
[00:23:54 -> 00:23:56] 无数次骚打模型的单价
[00:23:56 -> 00:23:56] 会在过去
[00:23:56 -> 00:23:58] 过了一段时间之后
[00:23:58 -> 00:23:58] 不断的下降
[00:23:58 -> 00:23:59] 可能降一个零的降
[00:23:59 -> 00:24:01] 而这个保鲜期
[00:24:01 -> 00:24:02] 在急剧的缩短
[00:24:02 -> 00:24:04] 如果有印象
[00:24:04 -> 00:24:06] 大家上一次最大的调价
[00:24:06 -> 00:24:07] 应该就是GPT 5.6的调价
[00:24:07 -> 00:24:09] LUNA直接调了特别多
[00:24:09 -> 00:24:10] 所以造成
[00:24:10 -> 00:24:12] LUNA的5.6的模型的
[00:24:12 -> 00:24:14] 仿佛量暴涨
[00:24:14 -> 00:24:15] 价格价格
[00:24:15 -> 00:24:17] 还是价格
[00:24:17 -> 00:24:18] 同样来自RAMF的统计
[00:24:18 -> 00:24:19] 它也挨扣了这个趋势
[00:24:19 -> 00:24:21] 它统计的三家
[00:24:21 -> 00:24:22] 最投入的模型厂商
[00:24:22 -> 00:24:24] OPI、Aesopic
[00:24:24 -> 00:24:26] 跟所有必然模型公司
[00:24:26 -> 00:24:28] 最大的模型
[00:24:28 -> 00:24:30] 标准模型跟LAT模型
[00:24:30 -> 00:24:31] 就是按尺寸来算
[00:24:31 -> 00:24:32] 当然其他人
[00:24:32 -> 00:24:33] 这个尺寸本身也代表着价格
[00:24:33 -> 00:24:36] 你会发现在8月2号
[00:24:36 -> 00:24:37] 那个统计里面
[00:24:37 -> 00:24:38] 用最最最前
[00:24:38 -> 00:24:40] 我用最贵的这件事情
[00:24:40 -> 00:24:41] 还有53%
[00:24:41 -> 00:24:43] 可是到9月6号的时候
[00:24:43 -> 00:24:44] 这个数字已经跌到45%了
[00:24:44 -> 00:24:46] 而LAT版本
[00:24:46 -> 00:24:48] 就是轻度版本的这个额度
[00:24:48 -> 00:24:49] 并没有太大的变化
[00:24:49 -> 00:24:51] 大概从16%降到14%
[00:24:51 -> 00:24:52] 大部分模型回到了
[00:24:52 -> 00:24:54] 所谓的standard的版本
[00:24:54 -> 00:24:54] 就是标准版
[00:24:54 -> 00:24:57] 从价格曲线来看
[00:24:57 -> 00:24:59] 这个曲线就在往下拉
[00:24:59 -> 00:25:02] 我们回想过去的
[00:25:02 -> 00:25:04] 这段时间发生了什么
[00:25:04 -> 00:25:07] 用一个替代的角度来看
[00:25:07 -> 00:25:09] 很现实的
[00:25:09 -> 00:25:11] 如果今天有一个模型能力
[00:25:11 -> 00:25:13] 达到头部模型80%
[00:25:13 -> 00:25:14] 甚至90%的
[00:25:14 -> 00:25:15] 开源模型
[00:25:15 -> 00:25:17] 它的成本只有对方的
[00:25:17 -> 00:25:19] 十几甚至几十分之一
[00:25:19 -> 00:25:20] 那我为什么不去用
[00:25:20 -> 00:25:21] 那个开源模型
[00:25:21 -> 00:25:21] 对吧
[00:25:21 -> 00:25:23] 那我们就看过去三年半
[00:25:23 -> 00:25:24] 开源模型里发生了什么
[00:25:24 -> 00:25:26] 2023年最代表的开源模型
[00:25:26 -> 00:25:27] Lama2
[00:25:27 -> 00:25:28] 哇天哪
[00:25:28 -> 00:25:29] 感觉上古时代的模型
[00:25:29 -> 00:25:30] 还不太行
[00:25:30 -> 00:25:31] 非常多的幻觉
[00:25:31 -> 00:25:32] 大家也做过很多的
[00:25:32 -> 00:25:33] 后续链的挑事
[00:25:33 -> 00:25:33] 发现不太OK
[00:25:33 -> 00:25:34] 所以在22年
[00:25:34 -> 00:25:36] 很多公司就选择
[00:25:36 -> 00:25:37] 回到了GPT4
[00:25:37 -> 00:25:39] 24年出现Lama3
[00:25:39 -> 00:25:39] 还可以
[00:25:39 -> 00:25:41] 有些公司开始做了尝试
[00:25:41 -> 00:25:43] 真正意义上Lama3
[00:25:43 -> 00:25:43] 可以说是
[00:25:43 -> 00:25:45] 大家认为开源模型
[00:25:45 -> 00:25:46] 可以跟币源模型
[00:25:46 -> 00:25:47] 是吧是吧
[00:25:47 -> 00:25:48] 那是24年的事情
[00:25:48 -> 00:25:49] 25年
[00:25:49 -> 00:25:51] DeepSick21出现了
[00:25:51 -> 00:25:52] 引发了后面
[00:25:52 -> 00:25:53] 所有无数的事情
[00:25:53 -> 00:25:54] 真正意义上
[00:25:54 -> 00:25:55] 开源模型
[00:25:55 -> 00:25:56] 可以跟投币源模型
[00:25:56 -> 00:25:57] 有竞争
[00:25:57 -> 00:25:59] 大家可以开始尝试
[00:25:59 -> 00:26:01] 做更多的部署
[00:26:01 -> 00:26:02] 因为低成本
[00:26:02 -> 00:26:04] 因为经济性特别明显
[00:26:04 -> 00:26:05] 到了26年
[00:26:05 -> 00:26:07] 我们不需要列
[00:26:07 -> 00:26:08] 任何一个开源模型的能力
[00:26:08 -> 00:26:08] 26年
[00:26:08 -> 00:26:09] 今天开源模型
[00:26:09 -> 00:26:10] 跟币源模型的能力
[00:26:10 -> 00:26:10] 你知道什么
[00:26:10 -> 00:26:11] 我也不需要去解释
[00:26:11 -> 00:26:13] 那自然而然造成的结果
[00:26:13 -> 00:26:14] 就是大面积的商业扑开
[00:26:14 -> 00:26:15] 成为现实
[00:26:15 -> 00:26:16] 过去三年半经历的事情
[00:26:16 -> 00:26:19] 趋势已经非常明显
[00:26:19 -> 00:26:21] 同样是OpenRooter的统计
[00:26:21 -> 00:26:24] 在Token的
[00:26:24 -> 00:26:27] Share of Tokens的曲线上
[00:26:27 -> 00:26:29] 我们把Azopico
[00:26:29 -> 00:26:29] Google Amplify
[00:26:29 -> 00:26:31] 定义成一条曲线
[00:26:31 -> 00:26:32] 把其他Lab
[00:26:32 -> 00:26:33] 其实绝大部分
[00:26:33 -> 00:26:34] 就是开源的Lab
[00:26:34 -> 00:26:35] 定义成另外一条曲线的话
[00:26:35 -> 00:26:36] 它们之间的交集
[00:26:36 -> 00:26:38] 就是从Token量的交集
[00:26:38 -> 00:26:41] 在OpenRooter上的量的交集的发生
[00:26:41 -> 00:26:43] 发生在去年8月份
[00:26:43 -> 00:26:44] 然后到今天
[00:26:44 -> 00:26:47] 从Token的量角度
[00:26:47 -> 00:26:48] 在OpenRooter的Token量角
[00:26:48 -> 00:26:48] 有三分之二
[00:26:48 -> 00:26:50] 是由其他模型贡献
[00:26:50 -> 00:26:51] 最头部的三个模型
[00:26:51 -> 00:26:51] 只占了三分之一
[00:26:51 -> 00:26:54] 但在Spam
[00:26:54 -> 00:26:56] 就是钱的花费角度来讲
[00:26:56 -> 00:26:57] 是反过来的
[00:26:57 -> 00:26:58] 三分之二
[00:26:58 -> 00:26:59] 是那三家占据的
[00:26:59 -> 00:27:00] 三分之一
[00:27:00 -> 00:27:01] 是被开源模型拿走
[00:27:01 -> 00:27:03] 我觉得这非常make sense
[00:27:03 -> 00:27:04] 对吧
[00:27:04 -> 00:27:05] 就是确实Token的消耗
[00:27:05 -> 00:27:06] 变得更大了
[00:27:06 -> 00:27:07] 但是因为单价更低
[00:27:07 -> 00:27:08] 成本更低
[00:27:08 -> 00:27:10] 所以从花费角度来讲
[00:27:10 -> 00:27:12] 还是大头在那三家
[00:27:12 -> 00:27:13] 同样是一张
[00:27:13 -> 00:27:14] 我之前iBuyTheNumber
[00:27:14 -> 00:27:15] 用过的图
[00:27:15 -> 00:27:17] 就是一个第三方机构
[00:27:17 -> 00:27:19] 做的Token的ETF
[00:27:19 -> 00:27:21] 你明显感知到
[00:27:21 -> 00:27:22] BPM模型的价格
[00:27:22 -> 00:27:24] 在过去的一两个时间
[00:27:24 -> 00:27:25] 被急速的往下拉
[00:27:25 -> 00:27:26] 原因就是因为
[00:27:26 -> 00:27:27] 开源模型的崛起
[00:27:27 -> 00:27:29] 甚至开源模型的价格
[00:27:29 -> 00:27:29] 其实还在往上提
[00:27:29 -> 00:27:31] 但是因为之前
[00:27:31 -> 00:27:31] 开源模型的价格
[00:27:31 -> 00:27:32] 足够的低
[00:27:32 -> 00:27:33] 所以它会把
[00:27:33 -> 00:27:34] BPM模型的价格
[00:27:34 -> 00:27:36] 往下拉得非常强力
[00:27:36 -> 00:27:38] 造成的平均价格的曲线
[00:27:38 -> 00:27:39] 也是往下的
[00:27:39 -> 00:27:41] 那么就出现了一个问题
[00:27:41 -> 00:27:45] 如果最强的模型
[00:27:45 -> 00:27:47] 在今天似乎已经
[00:27:47 -> 00:27:48] 不太能够等于
[00:27:48 -> 00:27:50] 最好用的智能
[00:27:50 -> 00:27:52] 那么会出现
[00:27:52 -> 00:27:53] 什么样的状态
[00:27:53 -> 00:27:56] Echo我今天的标题
[00:27:56 -> 00:27:57] 也是红杉美国
[00:27:57 -> 00:27:58] 那次的标题
[00:27:58 -> 00:28:00] On your intelligence
[00:28:00 -> 00:28:02] 企业开始想
[00:28:02 -> 00:28:05] 能不能拥有自己的智能
[00:28:05 -> 00:28:07] 成本就要先考虑
[00:28:07 -> 00:28:09] 速度也要考虑
[00:28:09 -> 00:28:12] 好的智能的好的标准
[00:28:12 -> 00:28:14] 这个表现是什么
[00:28:14 -> 00:28:14] 也要考虑
[00:28:14 -> 00:28:16] 当然更重要的是
[00:28:16 -> 00:28:17] 对于数据的把控
[00:28:17 -> 00:28:19] 所以这几方面因素造成了
[00:28:19 -> 00:28:20] 在过去的
[00:28:20 -> 00:28:21] 可能两个季度左右时间
[00:28:21 -> 00:28:22] 无数的企业
[00:28:22 -> 00:28:24] 开始认真地构想
[00:28:24 -> 00:28:25] 建立自己的智能
[00:28:25 -> 00:28:29] 但在建立的过程中
[00:28:29 -> 00:28:30] 需要直面一些问题
[00:28:30 -> 00:28:33] 比如说到底是选择租用
[00:28:33 -> 00:28:35] 还是本地的建立
[00:28:35 -> 00:28:37] 这个边界跟权重怎么分
[00:28:37 -> 00:28:38] 那么
[00:28:38 -> 00:28:39] 如果要建立
[00:28:39 -> 00:28:41] 团队怎么构建
[00:28:41 -> 00:28:43] 如果建立了自己的
[00:28:43 -> 00:28:44] 这一套能力之后
[00:28:44 -> 00:28:46] 如何去说服你的客户
[00:28:46 -> 00:28:47] 接受的这种能力
[00:28:47 -> 00:28:50] 具体的执行过程
[00:28:50 -> 00:28:50] 应该是什么样
[00:28:50 -> 00:28:52] 这些就全部都是问题
[00:28:52 -> 00:28:53] 迎面而来
[00:28:53 -> 00:28:55] 那自然而然会有很多的厂商
[00:28:55 -> 00:28:57] 去解决这些问题
[00:28:57 -> 00:29:00] 在所有的问题里面
[00:29:00 -> 00:29:01] 我觉得成本
[00:29:01 -> 00:29:03] 只是第一个因素
[00:29:03 -> 00:29:05] 或者只是因素之一
[00:29:05 -> 00:29:09] 租用就是云端的
[00:29:09 -> 00:29:10] 还是本地部署
[00:29:10 -> 00:29:12] 在成本上肯定有区别
[00:29:12 -> 00:29:14] 在速度上也会有区别
[00:29:14 -> 00:29:15] 那最核心的区别
[00:29:15 -> 00:29:17] 在数据的掌控上
[00:29:17 -> 00:29:19] 当然可能
[00:29:19 -> 00:29:20] 还有天花板的问题
[00:29:20 -> 00:29:22] 成本只是因素之一
[00:29:22 -> 00:29:24] 然后是刚才说的
[00:29:24 -> 00:29:25] 所谓的组织问题
[00:29:25 -> 00:29:27] 到底是一个自上而下的
[00:29:27 -> 00:29:28] 还是自下而上的
[00:29:28 -> 00:29:29] 是全员的
[00:29:29 -> 00:29:30] 还是一个小规模集团军的
[00:29:30 -> 00:29:32] 是以点待面的
[00:29:32 -> 00:29:33] 还是全部铺开的
