# 转录元数据
# 节目: 得到《长谈》第64期（B站转载，UP主：商业成长）
# 标题: 64｜程乐松×脱不花：活得哲学一点
# 嘉宾: 程乐松（北京大学哲学系主任）/ 主持: 脱不花
# 发布: 2026-09-05 10:00 (B站) / 时长: 2h55m58s (10558s)
# 下载: opencli bilibili download BV1B24667EQH (480p, 342MB)
# 音频: ffmpeg 提取 mono 16kHz 128k mp3, 161MB
# 转录: whisper.cpp ggml-large-v3 Metal --vad (silero v6.2.0), 2026-09-11
# 段数: 4466 / 汉字: 51130 / 语速: 291字/min
# 校验源: B站官方中文字幕(4652条, 52591汉字, 亦为ASR产物仅供交叉校验)
[00:49:54 -> 00:50:01] 就是对外的时候我们当然不能够去完全无视这个社会的拉平的那一种呃
[00:50:01 -> 00:50:02] 我是把它描述成这样的
[00:50:02 -> 00:50:08] 描述为一种流俗的价值评价标准对外的时候其实你不可能去无视的对吗
[00:50:08 -> 00:50:14] 因为人不可能去离群索区也不可能完全忽略掉别人对你的评价
[00:50:14 -> 00:50:22] 但是你真的诚恳的面对自己内心的时候我认为你就应该敢于拿出这个勇气来嗯我的起点在哪里嗯
[00:50:22 -> 00:50:32] 我这个过程中间有哪一有哪个阶段我是浪费了没有如果没有的话你有什么地方对不起自己吗我不觉得所以内外要分开你比如说你
[00:50:32 -> 00:51:04] 就是说从我的角度来看可能我这样讲的时候可能有点有有点有有点反而塞哈嗯就比如说我在读呃我在读博士的时候我我学过日语和法语嗯啊那我其实到现在为止我的日语基本上就是蒙着读法语基本上已经阅读的很困难了啊那基本上还给老师了吗嗯对吧那其实呢如果我自己很诚实的面对自己的话我觉得我至少这两种语言能力的上市其实就是因为我自己的怠惰
[00:51:04 -> 00:51:35] 对吧因为相当于你其实你已经有这个能力了嗯只是你自己把丢掉的嗯对不对而且这个这个东西实际上你只能跟自己比的话啊那这个就是你的问题了所以诚实的面对自己的时候有些东西呃可能跟别人观察到你也是完全不一样嗯而且呢比如说我先我最近的几年由于我时间的碎片化可能很多时间都已经浪费在社交媒体和刷视频上了比如你给我五分钟十分钟的时间我可能就拿来
[00:51:35 -> 00:52:06] 刷短视频了嗯这五分钟十分钟的时间其实你能够零散的应用起来也未必是坏的对吧但是呢我可能没有用这是不是另一种怠惰呢我我当然当然这样这样的这样的呃自我反思我不会每天做啊我只是说不要过多反思我只是说要换一个视角去理解他就是说你在内观的时候其实要诚实的面对自己你这个说的特别好就是刚才这件事情他不是你要向社会要个说法社会永远不会给你一个说法
[00:52:06 -> 00:52:36] 对吧你是自己必须做这个选择没错你要做一个决定我要这样对待自己对因为如果你不做这个决定的话没有人会替你做这个决定做这个决定没有人会照顾你的品质自我评价即使有人替你做了这个决定你接受了别人的决定这个决定对你而言的精神和心灵意义上的后果仍然是你承担的所以你千万不要把这个东西浪读给别人没必要而且你自我的观察只有你自己其实最了解自己对吗
[00:52:36 -> 00:52:56] 所以当然我换一个视角啊你有你你你又不能够去这就是哲学家的毛病就是就是你换一个视角就看的时候你能发现就是说你不能以我的起点太低而让自己的当下的怠惰变成一种合理的东西
[00:52:56 -> 00:53:06] 就是比如说我在评价一个年轻学者的时候我会不自觉的会把此前的年轻学者对比起来的那个高点当做以后的高点
[00:53:06 -> 00:53:36] 以后学者的那个起点起点这个就是什么这个就是内卷的来源啊就是你相当于相当于比如说这个孩子发了六篇文章啊然后你会觉得啊六篇文章就是是个蛮正常的状态你慢慢就会觉得蛮正常的状态其实六篇文章是一个非常难达到的状态所以所以有些时候呢有些时候呢你你你自己的那个认知啊其实有些时候你自己稍微稍微反冷静下来反思你就知道哪个地方错了嗯啊
[00:53:36 -> 00:54:07] 比如说比如说我们说你你去你去这个跑外卖或者送快递我个人是怎么看的哈至少在我理解里啊活着就好第一第二呢就是别这个别伤着自己啊然后呢呃这是一个熟能生巧的活所以呢你只要给自己足够的耐心你可能不会太差这个我自己的一个想法啊你包括任何一个职场的环境都是这个样子但是我们现在绝大多数人是不给自己时间的啊我们我们笃信啊出道
[00:54:07 -> 00:54:38] 好几巅峰啊而且是一直巅峰巅峰巅峰巅峰巅峰下去就不允许从巅峰上下来的哈所以这个其实是一个很大的问题是嗯没错对还是那句话就别跟社会要说法了社会也给不了你说法对吧但是事实上叫自己能不能从内卷当中退出来其实是可以的当然可以其实是可以的对吧然后就比如说在我们公司里面我们是要打绩效的嘛啊那那你当然达到那个S级就是不仅叫做
[00:54:38 -> 00:55:08] 高水平的完成工作而且还要创造惊喜这当然是要么就是意外他碰到了一个意外的机会对吧创造了一个很大的成绩那要么就是他非常非常卷但是没有一个公司说我要求我们每个员工都是S级没错因为实际上社会也不是这么要求对这不可能的其实那个那个开关永远在你的手里是啊为什么到了我们这个年纪的时候这个开关好像就非常容易掌控了嗯呃因为一方面是你有一定的生活
[00:55:08 -> 00:55:37] 生活经验的积累了呃嗯你也在你的生活中见证过那些呃优秀的人了而且你也知道他们为什么优秀可能有些是因为像死星月那样的嗯他们生在罗马嗯有些可能敌地区学人家的习惯就比你好嗯啊可能有些人呢这个在某些点上他的运气真的比你好对吗那个时候你自己学会分析了这个时候你就知道你自己的那个高线在哪里这个时候你你搬那个开关的时候觉得觉得很简单你没有一个什么
[00:55:37 -> 00:56:07] 什么情绪在主导你就是不不甘心啊对就是你搬那个开关的时候实际上阻止你的就是那个不甘心就是那个心理总员问凭什么凭什么其实不凭什么对吧就是你到了一个状态的时候就应该这样啊所以呢我觉得我们始终要观察自己的两个状态一个是身体状态一个是心灵状态如果心身体状态和心灵状态都已经进入了极度疲惫的状态的话我个人是觉得你可以去开那个
[00:56:07 -> 00:56:37] 这个开关了因为最终你才是最最重要的你是一切的基础啊你不能够认为我可以把自我牺牲掉这个不是不是一个sacrifice的事情对吧所以我们是我们首先是一个非常具体的活着的人啊所以那个开关一直在手里的只是说我想我想解释哈年轻人如果觉得我其实这个开关我不太容易搞的其实我30岁的时候这开关我也不容易搞一样的
[00:56:37 -> 00:57:07] 卷得很我也我也要去卷那个卷房子车子卷支撑对吧发表卷发表卷卷卷著作卷项目其实都卷的我们都这么过来的啊所以我在面对年轻人的时候我至少在这一点上我认为我的态度是真诚的我从来没有过任何的这种凌驾感啊我是我是觉得现在的年轻人他们承受的压力比我大而且他们绝对比我跟他们这个年轻人的压力比我大
[00:57:07 -> 00:57:10] 这个年龄的时候要优秀的度
[00:57:10 -> 00:57:12] 这我我我是完全承认的啊
[00:57:12 -> 00:57:16] 呃我们当年考上北大的时候没有现在的孩子考的这么高
[00:57:16 -> 00:57:19] 嗯我都不敢想象680分什么概念
[00:57:19 -> 00:57:21] 对我就知道啊这好可怕啊
[00:57:21 -> 00:57:28] 而且人家还都吹拉弹唱的对我在跟我儿子算账要考了680分到底每门课要扣多少分
[00:57:28 -> 00:57:30] 我自己都觉得很惊讶好可怕
[00:57:30 -> 00:57:38] 但是呢这些孩子真的做到这说明他们其实是用一种极其用力的方式啊
[00:57:38 -> 00:57:43] 做了啊本来在他们这个年龄不一定能做到的事情
[00:57:43 -> 00:57:48] 嗯所以我我我跟我们学生讲你应该为自己感到骄傲
[00:57:48 -> 00:57:52] 我说的是真心话我不是随便说说的啊
[00:57:52 -> 00:57:54] 我不是说哎呀我跟你们说点漂亮话不是这样的啊
[00:57:54 -> 00:57:57] 我我这个人最不擅长的就是说漂亮话
[00:57:57 -> 00:58:00] 就你要我讽刺你这个我是特别擅长
[00:58:00 -> 00:58:03] 但是你要让我说说漂亮话的话我其实不太会
[00:58:03 -> 00:58:07] 嗯啊哎我看了您在呃北大这些系官网上的
[00:58:07 -> 00:58:10] 一个系主任之词这个就很不一样了
[00:58:10 -> 00:58:13] 这个就跟学生讲或者给公众讲就很不一样了对吧
[00:58:13 -> 00:58:17] 这个是同行要看的要代表北大哲学系的啊
[00:58:17 -> 00:58:19] 我发现啊你们北大哲学系的人还有一个特点
[00:58:19 -> 00:58:22] 你们都爱自称是哲学门嗯
[00:58:22 -> 00:58:25] 对因为那个是更经典的说法对对对对对啊
[00:58:25 -> 00:58:29] 就是我们在那个我们1912年的时候啊
[00:58:29 -> 00:58:33] 北大北京大学就是那个那个时候北京大学啊成立了哲学门
[00:58:33 -> 00:58:37] 那个门的意思实际上就是我们今天所说的科系的意思啊
[00:58:37 -> 00:58:42] 所以呃所以我们叫哲学门而且我们就会自称哲学门里人
[00:58:42 -> 00:58:49] 嗯啊这个门的意思呢有两个含义我觉得第一个含义就是说我们进入到了一个知识规范
[00:58:49 -> 00:58:54] 嗯也就是说其实什么叫门里门里就是说你接受了某种规范对对吧
[00:58:54 -> 00:58:59] 第二个呢就是我们自觉认同我们进入了一个传统这个传统很要紧啊
[00:58:59 -> 00:59:08] 所以为什么北大哲学系的人会有一种自豪感是因为我们是中国现代哲学的学科建
[00:59:08 -> 00:59:09] 建制地啊
[00:59:09 -> 00:59:18] 然后呢我们1952年的时候学科这个院系调整我们将当代中国最优秀的哲学家寄居一堂
[00:59:18 -> 00:59:20] 人文学科靠的是底蕴啊
[00:59:20 -> 00:59:23] 所以我们有这么优秀的老先生们啊
[00:59:23 -> 00:59:27] 只有我们今天仍然活在这些老先生们的延长线上
[00:59:27 -> 00:59:35] 对其实我也觉得就是门和系相比的话就除了他在语感上就更加的俊勇对吧
[00:59:35 -> 00:59:38] 我就还有一个就是好像门是有传承的
[00:59:38 -> 00:59:40] 系是一个平摊的分类
[00:59:40 -> 01:00:08] 没错就是咱们把这一堆分到一块把这一堆分到一块就是系呢多多少少有一种那种discipline和那种professional的感觉就是就职业化感觉但是门呢就会感觉有一种纽带感啊有一种那种有一种那种认同感对而且这种认同感呢是能够深入你的自我认知的啊就是你比如说嗯呃有一次我的一个朋友跟我讲他说其实
[01:00:08 -> 01:00:15] 你有没有发现你自己在跟别人聊天的时候你会不自觉的要让别人知道你是北大哲学系的
[01:00:15 -> 01:00:36] 我说有吗他说有他说你真的是几句就要说出来这句话我所以我后来有一段时间我是特意特别刻意的不提这件事情就是那也没有必要就不提我觉得好像是不是就是特意刻意跟人炫耀这件事啊那倒不是北大哲学系的这样是北大的都这样哈哈哈我觉得身边不会有一个朋友是北大的而你不知道他是北大
[01:00:38 -> 01:00:40] 哎极少极少但也有但也有
[01:00:40 -> 01:00:49] 嗯我看你在那个系准之词当中说了一句话就是说北大哲学门的人们是要处理惊奇直面根本问题
[01:00:49 -> 01:00:56] 嗯我我我特别好奇我想请您跟我们讲一讲就是对于今天的人们来说什么是这个根本问题
[01:00:56 -> 01:01:01] 根本问题是在我们精神生活中间那些具有奠基性的问题
[01:01:01 -> 01:01:04] 嗯这种奠基性的问题里包括什么啊
[01:01:04 -> 01:01:08] 嗯包括我我觉得我们是不是分四个方面去谈就好了
[01:01:08 -> 01:01:08] 嗯
[01:01:08 -> 01:01:08] 嗯
[01:01:08 -> 01:01:08] 嗯
[01:01:08 -> 01:01:39] ,第一个是关于真实性的问题,真实性就是我们的感知,我们的经验,我们所面对的外部世界,我们自身的存在,为什么是真实的,嗯,就是这个是个real的问题啊,这个真实的问题,那么第二个问题呢,我觉得是意义的问题,嗯,就是啊,你活着的意义是什么,这个世界与你的关系,它为什么能够建构起一种连接,那么这个世界如果没有你会如何,那这是个意义的问题,嗯,
[01:01:39 -> 01:01:42] 第三个问题是秩序的问题
[01:01:42 -> 01:01:45] 就是为什么这个世界是以这样的方式排布的
[01:01:45 -> 01:01:48] 它为什么是以这个方式来运作的
[01:01:48 -> 01:01:53] 那为什么我们会指向这个世界的
[01:01:53 -> 01:01:56] 这个世界的某种秩序性的生活
[01:01:56 -> 01:01:58] 无论是社会生活还是自然界
[01:01:58 -> 01:01:59] 它为什么是这个秩序
[01:01:59 -> 01:02:02] 那么它可以没有秩序吗
[01:02:02 -> 01:02:04] 你比如说我举个例子
[01:02:04 -> 01:02:06] 秩序性的问题实际上是个信念
[01:02:06 -> 01:02:10] 你比如说物理学的成立的基础是什么
[01:02:10 -> 01:02:13] 你必须相信这个世界是有秩序
[01:02:13 -> 01:02:16] 且这个秩序是可以被探索的
[01:02:16 -> 01:02:17] 要不然物理学这个事没法搞
[01:02:17 -> 01:02:18] 对吧
[01:02:18 -> 01:02:22] 所以其实我们谈论就是秩序问题
[01:02:22 -> 01:02:24] 最后一个问题在我看来是死亡
[01:02:24 -> 01:02:27] 就是你为什么会
[01:02:27 -> 01:02:29] 你如何去面对生命的终结
[01:02:29 -> 01:02:32] 生命终结了以后是什么样子
[01:02:32 -> 01:02:36] 你如何去处理那个生命终结
[01:02:36 -> 01:02:38] 所面对的那个绝对的深渊
[01:02:38 -> 01:02:40] 给你带来的那个焦虑
[01:02:40 -> 01:02:41] 这些问题在我看来
[01:02:41 -> 01:02:42] 是核心
[01:02:42 -> 01:02:45] 你比如说我说的真实
[01:02:45 -> 01:02:46] 意义
[01:02:46 -> 01:02:46] 秩序
[01:02:46 -> 01:02:47] 死亡
[01:02:47 -> 01:02:49] 这些问题实际上是根本问题
[01:02:49 -> 01:02:52] 所以我们系的一个非常非常优秀的教授
[01:02:52 -> 01:02:54] 李蒙老师
[01:02:54 -> 01:02:56] 我经常引他这句话
[01:02:56 -> 01:02:59] 他说哲学家永远关心最根本的问题
[01:02:59 -> 01:03:00] 而不是最急迫的问题
[01:03:00 -> 01:03:03] 我认为这个说法是对的
[01:03:03 -> 01:03:05] 而且每一个时代这些根本的问题
[01:03:05 -> 01:03:07] 都会以这个时代的面目
[01:03:07 -> 01:03:09] 重新出现在哲学家面前
[01:03:09 -> 01:03:11] 然后我们的工作
[01:03:11 -> 01:03:11] 其实是很重要的
[01:03:11 -> 01:03:17] 就是负责在这个时代对这些问题的结构和可能的指向
[01:03:17 -> 01:03:20] 提供一种新的时代性的诠释
[01:03:20 -> 01:03:22] 但我们永远不可能找到答案
[01:03:22 -> 01:03:24] 因为我们也没有答案
[01:03:24 -> 01:03:27] 你要真正找到这些问题的答案
[01:03:27 -> 01:03:29] 只有一种可能性
[01:03:29 -> 01:03:30] 就是信仰
[01:03:30 -> 01:03:32] 没有了
[01:03:32 -> 01:03:33] 就是如果你没有信仰的话
[01:03:33 -> 01:03:35] 这些问题是不会有确凿的答案的
[01:03:35 -> 01:03:38] 所以这个科学本身的那个意涵
[01:03:38 -> 01:03:39] 实际上就是说
[01:03:39 -> 01:03:41] 如果有一个事实
[01:03:41 -> 01:03:41] 你被说服了
[01:03:41 -> 01:03:43] 那就是科学
[01:03:43 -> 01:03:43] 对吧
[01:03:43 -> 01:03:44] 如果有一个论证
[01:03:44 -> 01:03:45] 你被说服了
[01:03:45 -> 01:03:45] 那是哲学
[01:03:45 -> 01:03:47] 如果有一个信念
[01:03:47 -> 01:03:48] 有一个真理
[01:03:48 -> 01:03:49] 你被说服了
[01:03:49 -> 01:03:50] 那我想可能就是信仰
[01:03:50 -> 01:03:50] 对
[01:03:50 -> 01:03:53] 所以只有信仰能够解决
[01:03:53 -> 01:03:54] 提供答案
[01:03:54 -> 01:03:56] 但是我们负责什么
[01:03:56 -> 01:03:59] 我们就负责把这个问题解释给你看
[01:03:59 -> 01:04:00] 提出这些问题
[01:04:00 -> 01:04:02] 把这个问题再提出一遍
[01:04:02 -> 01:04:02] 对吧
[01:04:02 -> 01:04:03] 就比如说
[01:04:03 -> 01:04:05] 我们今天如何面对死亡的问题
[01:04:05 -> 01:04:06] 就明显面对的问题
[01:04:06 -> 01:04:07] 就比如说赛博永生
[01:04:07 -> 01:04:09] 什么叫永生
[01:04:09 -> 01:04:11] 对是这个时代才出现的
[01:04:11 -> 01:04:12] 死前的时代
[01:04:12 -> 01:04:13] 没有人会提赛博永生
[01:04:13 -> 01:04:15] 死前这个时代
[01:04:15 -> 01:04:16] 这个赛道归我们道教
[01:04:16 -> 01:04:17] 对
[01:04:17 -> 01:04:18] 我刚想说
[01:04:18 -> 01:04:19] 这不是你们道教的
[01:04:19 -> 01:04:21] 这是我们原初赛道
[01:04:21 -> 01:04:22] 对吧
[01:04:22 -> 01:04:24] 所以你会觉得很有趣
[01:04:24 -> 01:04:25] 我经常问的一个问题
[01:04:25 -> 01:04:26] 就是说
[01:04:26 -> 01:04:28] 你看现在赛博时代了
[01:04:28 -> 01:04:30] 大家都讨论赛博永生了
[01:04:30 -> 01:04:32] 为什么在过往2000年
[01:04:32 -> 01:04:33] 中间我们道教
[01:04:33 -> 01:04:34] 一直在说永生的事情
[01:04:34 -> 01:04:36] 你们都不严肃了
[01:04:36 -> 01:04:36] 对吧
[01:04:36 -> 01:04:38] 一旦讨论到道教永生的时候
[01:04:38 -> 01:04:39] 都不严肃
[01:04:39 -> 01:04:40] 为什么讨论赛博永生
[01:04:40 -> 01:04:42] 大家都这么严肃
[01:04:42 -> 01:04:42] 你知道为什么
[01:04:42 -> 01:04:43] 为什么
[01:04:43 -> 01:04:43] 是因为
[01:04:43 -> 01:04:44] 两个人
[01:04:44 -> 01:04:45] 两个知识模式
[01:04:45 -> 01:04:47] 如果你接受了
[01:04:47 -> 01:04:49] 传统中国的宇宙论
[01:04:49 -> 01:04:50] 和生命观念
[01:04:50 -> 01:04:52] 以及关于生命和死亡
[01:04:52 -> 01:04:53] 以及病疾病的观念的话
[01:04:53 -> 01:04:56] 那么传统的那一套
[01:04:56 -> 01:04:57] 永生的技术
[01:04:57 -> 01:04:58] 它就是很严肃的
[01:04:58 -> 01:05:00] 但是如果你现在接受了
[01:05:00 -> 01:05:02] 物理化学数学生物的
[01:05:02 -> 01:05:03] 这一套对生命的理解
[01:05:03 -> 01:05:06] 和对于生命的运行方式的理解的话
[01:05:06 -> 01:05:08] 那么赛博永生就是很严肃的
[01:05:08 -> 01:05:09] 对吧
[01:05:09 -> 01:05:10] 你比如说把所有的衰老
[01:05:10 -> 01:05:11] 衰老衰老基因
[01:05:11 -> 01:05:12] 全部给它减掉
[01:05:12 -> 01:05:14] 然后我们就不衰老
[01:05:14 -> 01:05:15] 然后我们就可以活到160 180
[01:05:15 -> 01:05:18] 这个是非常典型的
[01:05:18 -> 01:05:20] 在这个知识环境以下
[01:05:20 -> 01:05:21] 才能被严肃讨论的问题
[01:05:21 -> 01:05:25] 所以为什么你现在讨论那个炼丹
[01:05:25 -> 01:05:26] 你会觉得很搞笑
[01:05:26 -> 01:05:30] 是因为你不接受那一套背后的知识
[01:05:30 -> 01:05:30] 对
[01:05:30 -> 01:05:33] 但是被你这么拽到一块一看的话
[01:05:33 -> 01:05:35] 立即对赛博永生也丧失了尊重
[01:05:35 -> 01:05:39] 其实不用丧失尊重
[01:05:39 -> 01:05:41] 我认为有些东西
[01:05:41 -> 01:05:44] 在它真正道理上
[01:05:44 -> 01:05:49] 来之前其实都是多余的焦虑
[01:05:49 -> 01:05:51] 比如说我举个例子
[01:05:51 -> 01:05:55] 死亡和永生就是非常典型的
[01:05:55 -> 01:05:57] 然后还有就是极致的混乱
[01:05:57 -> 01:06:00] 也是不必要去考虑的
[01:06:00 -> 01:06:03] 然后不要去设想世界末日如何
[01:06:03 -> 01:06:04] 不用考虑这些问题
[01:06:04 -> 01:06:06] 这些问题是纯纯碎碎的
[01:06:06 -> 01:06:09] 我认为是一种冗余的焦虑
[01:06:09 -> 01:06:11] 就在任何时候它都是冗余焦虑
[01:06:11 -> 01:06:14] 只有它已经敲开你的门了
[01:06:14 -> 01:06:15] 其实那个时候你已经没办法抵抗了
[01:06:15 -> 01:06:16] 就跟着走就完了
[01:06:16 -> 01:06:19] 你唯一的选项就是说
[01:06:19 -> 01:06:20] 你跟着走就好了
[01:06:20 -> 01:06:24] 所以其实包括我们这个时代
[01:06:24 -> 01:06:25] 最终都崩溃了怎么办
[01:06:25 -> 01:06:27] 这些问题你不用考虑
[01:06:27 -> 01:06:31] 可能很大程度上是我们对于
[01:06:31 -> 01:06:33] 我们对于这个时代
[01:06:33 -> 01:06:35] 这个时代给我们的确定性
[01:06:35 -> 01:06:37] 看起来太多了
[01:06:37 -> 01:06:39] 其实绝大部分的情况是
[01:06:39 -> 01:06:41] 我们传统中国的
[01:06:41 -> 01:06:43] 传统中国和传统世界的人们
[01:06:43 -> 01:06:44] 其实他们面对的不确定性
[01:06:44 -> 01:06:45] 多得多
[01:06:45 -> 01:06:46] 所以他们更多的
[01:06:46 -> 01:06:47] 需要那种信仰
[01:06:47 -> 01:06:49] 去给你提供确定性
[01:06:49 -> 01:06:51] 所以我们确实可能是
[01:06:51 -> 01:06:53] 就像我们这40年过的好日子一样
[01:06:53 -> 01:06:56] 就拥有的确定性和向上的这个通道
[01:06:56 -> 01:06:58] 有点就过于确定了
[01:06:58 -> 01:07:00] 所以我们就会要更多
[01:07:00 -> 01:07:01] 然后再要更多
[01:07:01 -> 01:07:03] 但是事实上回到历史上来看的话
[01:07:03 -> 01:07:04] 从来没有一代人是这样的
[01:07:04 -> 01:07:05] 没错
[01:07:05 -> 01:07:06] 已经太多了
[01:07:06 -> 01:07:08] 其实我们已经是
[01:07:08 -> 01:07:10] 至少我觉得吧
[01:07:10 -> 01:07:12] 应该我应该怎么说呢
[01:07:12 -> 01:07:14] 65年到85年出生的
[01:07:14 -> 01:07:15] 这20年出生的人
[01:07:15 -> 01:07:16] 我认为是这一代人
[01:07:16 -> 01:07:18] 至少是吃到了时代的红利
[01:07:18 -> 01:07:19] 那当然
[01:07:19 -> 01:07:20] 那必须承认
[01:07:20 -> 01:07:23] 再往后的可能就比较艰苦一点
[01:07:23 -> 01:07:23] 对艰苦一点
[01:07:23 -> 01:07:27] 而且可能会越来越越来越卷
[01:07:27 -> 01:07:31] 但是这个艰苦和65年以前的人的艰苦
[01:07:31 -> 01:07:32] 也不是一种艰苦
[01:07:32 -> 01:07:34] 65年以前的人的艰苦
[01:07:34 -> 01:07:35] 是一种物质性匮乏
[01:07:35 -> 01:07:36] 那么现在呢
[01:07:36 -> 01:07:38] 实际上是一种精神性焦虑
[01:07:38 -> 01:07:39] 这完全不一样
[01:07:39 -> 01:07:41] 就是吃的不同的苦而已
[01:07:41 -> 01:07:41] 对吧
[01:07:41 -> 01:07:44] 但是吃苦都是一定一定吃苦了
[01:07:44 -> 01:07:45] 而且呢
[01:07:45 -> 01:07:47] 精神焦虑的苦不一定比那个
[01:07:47 -> 01:07:48] 物质匮乏的苦好吃
[01:07:48 -> 01:07:50] 可能更难受
[01:07:50 -> 01:07:52] 因为物质匮乏呢
[01:07:52 -> 01:07:55] 是会让你产生一些更直接的
[01:07:55 -> 01:07:57] 或者是更简单的解决方案
[01:07:57 -> 01:07:59] 但是精神性的焦虑
[01:07:59 -> 01:08:01] 是没有简单解决方案的
[01:08:01 -> 01:08:02] 对吧
[01:08:02 -> 01:08:04] 我特别感谢您刚才
[01:08:04 -> 01:08:07] 对这个根本问题的这个解释
[01:08:07 -> 01:08:07] 因为
[01:08:07 -> 01:08:08] 这我临时想的
[01:08:08 -> 01:08:11] 是你临时想的呀
[01:08:11 -> 01:08:11] 当然了
[01:08:11 -> 01:08:12] 天哪
[01:08:12 -> 01:08:14] 那我觉得哲学系的戏友们
[01:08:14 -> 01:08:15] 是不是应该感谢一下我
[01:08:15 -> 01:08:16] 对
[01:08:16 -> 01:08:18] 因为我从来没有听人
[01:08:18 -> 01:08:19] 这么解释过
[01:08:19 -> 01:08:21] 因为大家都是大而化之的
[01:08:21 -> 01:08:22] 就把它说过去了
[01:08:22 -> 01:08:23] 然后比如说
[01:08:23 -> 01:08:25] 我们要面对一些根本问题
[01:08:25 -> 01:08:26] 是不是
[01:08:26 -> 01:08:27] 一般说根本问题的时候
[01:08:27 -> 01:08:29] 都会说意义问题
[01:08:29 -> 01:08:29] 对
[01:08:29 -> 01:08:30] 然后呢
[01:08:30 -> 01:08:30] 或者呢
[01:08:30 -> 01:08:32] 我们现在也经常会说啊
[01:08:32 -> 01:08:34] 说哲学乃至所有的人文学科
[01:08:34 -> 01:08:35] 都是无用之学
[01:08:35 -> 01:08:36] 但是事实上
[01:08:36 -> 01:08:39] 你把它切到这四个问题上之后
[01:08:39 -> 01:08:40] 那我觉得大家对什么有用
[01:08:40 -> 01:08:41] 什么无用
[01:08:41 -> 01:08:42] 是不是也过于功利了
[01:08:42 -> 01:08:45] 就这难道不是最重要的问题吗
[01:08:45 -> 01:08:46] 根本性的问题
[01:08:46 -> 01:08:49] 不能死死忠的出现在日常里
[01:08:49 -> 01:08:52] 就像我们去看一个建筑的时候
[01:08:52 -> 01:08:54] 你不会总想去看地基吧
[01:08:54 -> 01:08:55] 对吧
[01:08:55 -> 01:08:57] 生活是什么
[01:08:57 -> 01:08:59] 生活是经过软装以后的那个房子
[01:08:59 -> 01:09:01] 你不要总想着那个混凝土
[01:09:01 -> 01:09:03] 你也不要想着在地底下
[01:09:03 -> 01:09:05] 还有一个地基
[01:09:05 -> 01:09:06] 你不要想这个问题
[01:09:06 -> 01:09:08] 因为你不是建筑师
[01:09:08 -> 01:09:09] 建筑师呢
[01:09:09 -> 01:09:12] 他其实看建筑的时候
[01:09:12 -> 01:09:14] 和我们看建筑师是不一样的
[01:09:14 -> 01:09:14] 所以呢
[01:09:14 -> 01:09:16] 一个好的哲学家
[01:09:16 -> 01:09:18] 或者是一个好的人文学者
[01:09:18 -> 01:09:20] 他在一定程度
[01:09:20 -> 01:09:22] 上之所以换一个视角
[01:09:22 -> 01:09:23] 去看这个世界的话
[01:09:23 -> 01:09:24] 我觉得很大程度上是
[01:09:24 -> 01:09:27] 是因为他有一定知识的积累
[01:09:27 -> 01:09:29] 他考虑这些问题的时候
[01:09:29 -> 01:09:30] 可能不会
[01:09:30 -> 01:09:32] 把这些问题拿来考虑的时候
[01:09:32 -> 01:09:34] 他实际上是有一个度的
[01:09:34 -> 01:09:37] 他不会永远在思考这些问题
[01:09:37 -> 01:09:39] 因为这些问题本身就是无解的
[01:09:39 -> 01:09:39] 所以你想
[01:09:39 -> 01:09:41] 如果把一个问题拿出来的时候
[01:09:41 -> 01:09:42] 我已经知道他无解的时候
[01:09:42 -> 01:09:44] 这个时候呢
[01:09:44 -> 01:09:47] 你就从一个找答案的焦虑状态
[01:09:47 -> 01:09:50] 进入到了一个玩游戏的
[01:09:50 -> 01:09:51] 闲适状态
[01:09:51 -> 01:09:55] 我要找到一个新的表述方式
[01:09:55 -> 01:09:57] 那么这个表述方式一旦出来的
[01:09:57 -> 01:09:58] 你看多好玩
[01:09:58 -> 01:10:00] 这个我跟老子表述的不一样
[01:10:00 -> 01:10:01] 其实我刚才说的是一回事
[01:10:01 -> 01:10:02] 对吧
[01:10:02 -> 01:10:03] 所以呢
[01:10:03 -> 01:10:05] 我常常讲我们做哲学的人
[01:10:05 -> 01:10:07] 实际上是在精神生活的意义上
[01:10:07 -> 01:10:09] 反复的炒人类生活的冷饭
[01:10:09 -> 01:10:12] 对我们就是蛋炒饭
[01:10:12 -> 01:10:15] 这有点像下棋的人打棋谱一样
[01:10:15 -> 01:10:16] 对吧
[01:10:16 -> 01:10:17] 就这么点棋子
[01:10:17 -> 01:10:20] 反复的来去打这个棋谱
[01:10:20 -> 01:10:21] 来去看他的客户
[01:10:21 -> 01:10:22] 托热在其中的
[01:10:22 -> 01:10:24] 但是如果你一旦把这个
[01:10:24 -> 01:10:26] 一旦把胜负想的这么
[01:10:26 -> 01:10:27] 看得这么重的时候
[01:10:27 -> 01:10:29] 其实就乐趣少很多
[01:10:29 -> 01:10:29] 就不好玩了
[01:10:29 -> 01:10:29] 对
[01:10:29 -> 01:10:31] 所以我觉得就是
[01:10:31 -> 01:10:33] 你的工作还是非常非常了不起的
[01:10:33 -> 01:10:37] 因为刚才你对根本性问题的这个翻译
[01:10:37 -> 01:10:39] 我觉得对于很多公众来说
[01:10:39 -> 01:10:41] 就没有受过完整的哲学训练的公众来说
[01:10:41 -> 01:10:43] 就是很大的帮助
[01:10:43 -> 01:10:44] 所以哲学界还是需要翻译者
